internet_usage_frequency,device_preferences,social_media_platforms,website_types_visited,app_usage_patterns,e-commerce_activity,digital_payment_usage,online_content_creation,newsletter_subscription,online_forum_participation,privacy_settings_used,online_reviews_activity,live_streaming_engagement,online_spending_trends,digital_communication_channels
Weekly,Desktop,Twitter,Social,Moderate,Moderate,Frequent,Moderate,Yes,Occasional,Low,Occasional,Occasional,>$500,Email
Daily,Laptop,Facebook,News,Rare,Low,Frequent,Frequent,No,Active,Low,Occasional,Rare,>$500,Email
Daily,Laptop,Facebook,E-commerce,Rare,Moderate,Frequent,Moderate,Yes,Active,Moderate,Occasional,Rare,<$50,Email
Weekly,Smartphone,Twitter,Entertainment,Frequent,High,Rare,Moderate,Yes,Occasional,Moderate,Frequent,Rare,$200-$500,Video Calls
Occasionally,Desktop,Instagram,Educational,Rare,Low,Occasional,None,No,None,Low,Rare,Frequent,$200-$500,Messaging Apps
Occasionally,Smartphone,Instagram,E-commerce,Rare,Low,Occasional,Moderate,No,Active,Low,Occasional,Rare,$200-$500,Messaging Apps
Occasionally,Desktop,LinkedIn,Social,Frequent,Low,Occasional,Moderate,Yes,Occasional,Moderate,Frequent,Occasional,<$50,Messaging Apps
Daily,Smartphone,Instagram,Social,Frequent,High,Occasional,Moderate,No,Occasional,Moderate,Occasional,Occasional,$50-$200,Email
Occasionally,Smartphone,Twitter,E-commerce,Moderate,High,Rare,Frequent,Yes,Occasional,Moderate,Occasional,Occasional,<$50,Social Media
Occasionally,Laptop,Instagram,Social,Rare,High,Rare,None,No,Active,High,Occasional,Rare,<$50,Social Media
Daily,Tablet,Twitter,News,Frequent,High,Frequent,Moderate,Yes,Active,High,Occasional,Rare,$200-$500,Social Media
Weekly,Laptop,Twitter,E-commerce,Frequent,Moderate,Rare,None,Yes,Occasional,High,Rare,Rare,$200-$500,Social Media
Weekly,Tablet,Facebook,Social,Moderate,High,Occasional,Moderate,Yes,Active,Low,Frequent,Occasional,<$50,Email
Daily,Laptop,Facebook,Educational,Moderate,Low,Rare,Moderate,Yes,Active,Low,Rare,Rare,$50-$200,Social Media
Weekly,Smartphone,Instagram,Educational,Rare,Low,Frequent,None,Yes,Occasional,Moderate,Rare,Occasional,>$500,Email
Occasionally,Desktop,Instagram,News,Rare,High,Frequent,Frequent,No,Occasional,Low,Frequent,Occasional,$200-$500,Video Calls
Occasionally,Laptop,LinkedIn,Educational,Rare,Low,Frequent,Moderate,No,None,Low,Occasional,Frequent,$50-$200,Messaging Apps
Occasionally,Smartphone,Twitter,E-commerce,Moderate,High,Occasional,None,Yes,None,Low,Occasional,Frequent,$200-$500,Email
Daily,Tablet,Twitter,Educational,Frequent,Low,Frequent,Frequent,Yes,None,Low,Rare,Occasional,>$500,Social Media
Occasionally,Smartphone,TikTok,Educational,Moderate,High,Occasional,Moderate,No,Occasional,High,Frequent,Frequent,<$50,Video Calls
Occasionally,Tablet,TikTok,News,Moderate,Moderate,Frequent,Frequent,No,None,Moderate,Rare,Occasional,$50-$200,Social Media
Occasionally,Smartphone,Twitter,News,Moderate,Moderate,Frequent,Moderate,Yes,None,Low,Frequent,Rare,<$50,Social Media
Weekly,Desktop,Facebook,News,Rare,High,Occasional,Frequent,Yes,Occasional,High,Rare,Rare,>$500,Social Media
Daily,Desktop,Instagram,Social,Frequent,High,Occasional,Frequent,Yes,Active,High,Frequent,Frequent,>$500,Social Media
Occasionally,Tablet,LinkedIn,Educational,Moderate,Moderate,Rare,Frequent,No,None,Low,Rare,Rare,$200-$500,Video Calls
Occasionally,Tablet,TikTok,News,Moderate,High,Rare,Moderate,No,None,Low,Occasional,Rare,>$500,Email
Occasionally,Smartphone,LinkedIn,News,Moderate,Moderate,Frequent,Frequent,Yes,Active,Low,Rare,Rare,>$500,Video Calls
Daily,Desktop,Facebook,News,Rare,Moderate,Occasional,Moderate,No,None,Moderate,Rare,Occasional,$200-$500,Messaging Apps
Weekly,Tablet,Facebook,Social,Frequent,Moderate,Rare,Moderate,Yes,None,High,Frequent,Frequent,>$500,Messaging Apps
Occasionally,Desktop,TikTok,Educational,Moderate,Low,Frequent,Moderate,Yes,None,High,Occasional,Rare,$50-$200,Social Media
Occasionally,Tablet,Instagram,E-commerce,Frequent,Low,Rare,Moderate,Yes,None,High,Frequent,Occasional,>$500,Messaging Apps
Daily,Smartphone,LinkedIn,Social,Moderate,Low,Occasional,None,Yes,None,High,Rare,Rare,$200-$500,Social Media
Daily,Smartphone,Twitter,News,Frequent,Moderate,Occasional,Moderate,No,Active,Moderate,Rare,Occasional,<$50,Messaging Apps
Weekly,Laptop,Instagram,E-commerce,Frequent,High,Occasional,None,No,Active,Low,Occasional,Rare,$50-$200,Video Calls
Daily,Smartphone,Twitter,Social,Moderate,High,Rare,Frequent,No,Active,High,Rare,Rare,<$50,Video Calls
Occasionally,Tablet,TikTok,Entertainment,Moderate,Low,Rare,Moderate,Yes,Active,High,Occasional,Occasional,$200-$500,Video Calls
Daily,Laptop,Twitter,E-commerce,Moderate,Moderate,Occasional,None,Yes,Occasional,High,Occasional,Rare,$50-$200,Social Media
Weekly,Laptop,Instagram,E-commerce,Rare,Low,Rare,Frequent,Yes,Active,Moderate,Rare,Frequent,$50-$200,Social Media
Weekly,Desktop,LinkedIn,Social,Rare,High,Rare,Moderate,Yes,Active,Low,Frequent,Occasional,$50-$200,Video Calls
Daily,Tablet,LinkedIn,Social,Moderate,Low,Frequent,None,Yes,None,Low,Frequent,Rare,<$50,Messaging Apps
Daily,Tablet,Twitter,News,Frequent,Low,Frequent,Moderate,No,Active,Moderate,Occasional,Frequent,<$50,Video Calls
Weekly,Tablet,Instagram,Social,Frequent,High,Occasional,None,Yes,Occasional,High,Frequent,Rare,>$500,Messaging Apps
Daily,Desktop,Instagram,Educational,Frequent,Moderate,Occasional,Moderate,No,Active,High,Rare,Rare,$50-$200,Email
Daily,Smartphone,Instagram,News,Frequent,Moderate,Frequent,None,No,Active,Moderate,Rare,Frequent,>$500,Email
Weekly,Desktop,Facebook,Educational,Rare,Low,Frequent,Moderate,No,Active,High,Rare,Rare,<$50,Email
Daily,Desktop,TikTok,Social,Rare,Low,Occasional,None,Yes,Occasional,Low,Occasional,Frequent,>$500,Messaging Apps
Weekly,Tablet,TikTok,News,Rare,Moderate,Occasional,None,No,Active,High,Rare,Occasional,$50-$200,Social Media
Weekly,Tablet,Instagram,News,Frequent,High,Frequent,Moderate,Yes,Occasional,High,Frequent,Occasional,$200-$500,Social Media
Daily,Desktop,Twitter,E-commerce,Rare,High,Occasional,None,Yes,None,Low,Rare,Rare,>$500,Messaging Apps
Occasionally,Laptop,TikTok,Social,Rare,High,Frequent,Moderate,No,None,High,Occasional,Occasional,<$50,Messaging Apps
Occasionally,Desktop,Facebook,Entertainment,Frequent,High,Rare,Frequent,No,Occasional,High,Occasional,Rare,$200-$500,Social Media
Occasionally,Desktop,TikTok,News,Frequent,High,Frequent,Frequent,Yes,None,High,Rare,Occasional,<$50,Email
Occasionally,Tablet,TikTok,Entertainment,Frequent,High,Frequent,Frequent,Yes,None,Low,Frequent,Rare,$50-$200,Social Media
Weekly,Desktop,Twitter,News,Frequent,High,Occasional,Moderate,No,Occasional,Moderate,Rare,Occasional,$200-$500,Email
Weekly,Smartphone,Twitter,Social,Rare,Moderate,Occasional,None,No,Occasional,Moderate,Frequent,Frequent,$200-$500,Video Calls
Occasionally,Desktop,TikTok,E-commerce,Frequent,Moderate,Occasional,None,No,Occasional,Moderate,Occasional,Rare,<$50,Video Calls
Daily,Laptop,LinkedIn,Entertainment,Rare,High,Rare,Frequent,Yes,Occasional,High,Frequent,Frequent,>$500,Messaging Apps
Weekly,Laptop,TikTok,Entertainment,Moderate,High,Rare,None,No,None,Moderate,Rare,Rare,>$500,Social Media
Daily,Tablet,Twitter,Social,Moderate,Low,Occasional,Moderate,No,None,Low,Occasional,Frequent,<$50,Social Media
Weekly,Desktop,TikTok,E-commerce,Rare,Moderate,Frequent,Frequent,No,None,Moderate,Frequent,Frequent,>$500,Email
Daily,Desktop,Twitter,Educational,Frequent,Moderate,Occasional,Frequent,No,Active,Moderate,Rare,Rare,>$500,Video Calls
Occasionally,Laptop,LinkedIn,Social,Moderate,Low,Frequent,Moderate,No,Occasional,Low,Rare,Frequent,>$500,Email
Occasionally,Smartphone,LinkedIn,Social,Rare,High,Frequent,Moderate,Yes,None,Low,Frequent,Rare,>$500,Email
Daily,Laptop,Facebook,E-commerce,Rare,Moderate,Rare,None,Yes,None,Low,Frequent,Rare,$50-$200,Social Media
Daily,Desktop,Twitter,E-commerce,Frequent,Moderate,Frequent,Moderate,Yes,Active,Moderate,Occasional,Occasional,$200-$500,Messaging Apps
Occasionally,Smartphone,TikTok,E-commerce,Frequent,Moderate,Rare,Frequent,Yes,Active,Low,Rare,Frequent,$200-$500,Email
Weekly,Smartphone,LinkedIn,E-commerce,Frequent,Low,Frequent,Frequent,Yes,None,Low,Frequent,Occasional,$50-$200,Video Calls
Weekly,Laptop,LinkedIn,Educational,Frequent,Low,Frequent,Moderate,Yes,Occasional,Low,Frequent,Occasional,$50-$200,Video Calls
Weekly,Tablet,LinkedIn,News,Frequent,High,Rare,None,No,Occasional,Low,Occasional,Rare,>$500,Social Media
Daily,Tablet,Facebook,E-commerce,Rare,Low,Frequent,None,No,None,Moderate,Frequent,Frequent,$200-$500,Email
Weekly,Smartphone,Twitter,Entertainment,Rare,Low,Rare,Frequent,No,Active,Low,Occasional,Frequent,$50-$200,Messaging Apps
Daily,Laptop,Facebook,Social,Frequent,High,Occasional,Frequent,No,Occasional,High,Frequent,Rare,$50-$200,Social Media
Daily,Smartphone,TikTok,Entertainment,Rare,Moderate,Frequent,Frequent,Yes,Active,High,Frequent,Frequent,>$500,Video Calls
Daily,Tablet,Twitter,Entertainment,Moderate,Low,Rare,Moderate,No,None,High,Occasional,Frequent,<$50,Social Media
Daily,Desktop,TikTok,Entertainment,Frequent,High,Frequent,Moderate,No,Occasional,Low,Occasional,Rare,<$50,Messaging Apps
Daily,Tablet,Instagram,E-commerce,Moderate,High,Occasional,None,Yes,None,Moderate,Occasional,Frequent,>$500,Messaging Apps
Occasionally,Tablet,LinkedIn,News,Moderate,High,Occasional,Frequent,Yes,Occasional,High,Occasional,Frequent,>$500,Messaging Apps
Occasionally,Laptop,TikTok,Social,Frequent,Moderate,Rare,None,No,Active,High,Occasional,Frequent,>$500,Video Calls
Occasionally,Laptop,Instagram,Social,Rare,High,Rare,Moderate,Yes,Occasional,Moderate,Occasional,Frequent,>$500,Social Media
Daily,Tablet,Facebook,E-commerce,Moderate,Moderate,Frequent,Frequent,No,Occasional,Low,Frequent,Rare,<$50,Social Media
Weekly,Laptop,Facebook,Educational,Moderate,Moderate,Rare,None,Yes,Active,High,Occasional,Frequent,$50-$200,Messaging Apps
Occasionally,Tablet,Instagram,E-commerce,Moderate,Low,Frequent,Moderate,No,Occasional,Moderate,Occasional,Occasional,$50-$200,Messaging Apps
Weekly,Tablet,Facebook,News,Rare,Low,Rare,None,No,Active,Moderate,Frequent,Occasional,>$500,Video Calls
Weekly,Laptop,Facebook,Entertainment,Frequent,High,Occasional,None,No,Occasional,Low,Frequent,Occasional,>$500,Messaging Apps
Occasionally,Laptop,TikTok,Educational,Frequent,Low,Rare,None,No,None,High,Rare,Rare,<$50,Email
Daily,Laptop,TikTok,Educational,Frequent,High,Occasional,Moderate,No,Occasional,High,Rare,Frequent,$50-$200,Video Calls
Weekly,Desktop,Twitter,News,Frequent,Moderate,Rare,Moderate,Yes,Active,High,Rare,Rare,>$500,Social Media
Daily,Desktop,TikTok,Social,Moderate,High,Frequent,Frequent,Yes,Occasional,High,Frequent,Frequent,$200-$500,Messaging Apps
Occasionally,Desktop,Instagram,Educational,Rare,Low,Frequent,None,Yes,Occasional,Moderate,Frequent,Rare,$50-$200,Messaging Apps
Daily,Laptop,TikTok,News,Rare,Low,Occasional,None,No,Occasional,Moderate,Rare,Occasional,$200-$500,Social Media
Occasionally,Tablet,Twitter,News,Rare,Moderate,Occasional,None,Yes,None,Low,Frequent,Frequent,>$500,Email
Occasionally,Desktop,Instagram,Entertainment,Rare,High,Occasional,Moderate,No,None,Low,Rare,Rare,>$500,Video Calls
Occasionally,Laptop,Instagram,Social,Rare,Low,Rare,Moderate,Yes,None,Low,Occasional,Occasional,>$500,Video Calls
Daily,Desktop,TikTok,News,Rare,Moderate,Frequent,None,Yes,Occasional,High,Rare,Occasional,>$500,Video Calls
Daily,Desktop,Instagram,News,Rare,High,Rare,Frequent,Yes,Active,High,Frequent,Rare,$50-$200,Social Media
Occasionally,Smartphone,Instagram,Entertainment,Rare,High,Frequent,Frequent,Yes,Active,Moderate,Frequent,Rare,>$500,Video Calls
Occasionally,Desktop,TikTok,Educational,Frequent,Low,Frequent,None,No,None,Low,Occasional,Frequent,>$500,Messaging Apps
Daily,Smartphone,Instagram,E-commerce,Moderate,Low,Rare,Moderate,No,Occasional,Low,Occasional,Rare,<$50,Messaging Apps
Daily,Desktop,TikTok,News,Rare,High,Rare,Moderate,Yes,Occasional,Low,Occasional,Rare,>$500,Social Media
Occasionally,Laptop,Twitter,News,Frequent,Moderate,Rare,Frequent,Yes,None,High,Rare,Frequent,<$50,Social Media
Weekly,Smartphone,TikTok,E-commerce,Frequent,High,Occasional,Moderate,No,Occasional,Moderate,Rare,Rare,>$500,Email
Occasionally,Laptop,Instagram,E-commerce,Rare,Low,Frequent,Frequent,Yes,Occasional,High,Occasional,Frequent,$200-$500,Video Calls
Daily,Tablet,Facebook,Entertainment,Frequent,Low,Occasional,Moderate,No,Active,High,Occasional,Rare,<$50,Video Calls
Occasionally,Desktop,LinkedIn,Entertainment,Rare,Low,Frequent,None,Yes,None,High,Rare,Occasional,$200-$500,Email
Occasionally,Laptop,Twitter,Social,Frequent,Low,Rare,Moderate,Yes,Active,Moderate,Rare,Rare,$200-$500,Social Media
Weekly,Tablet,Twitter,Social,Rare,Low,Frequent,None,Yes,Occasional,High,Occasional,Rare,>$500,Video Calls
Weekly,Tablet,Facebook,Social,Frequent,Moderate,Frequent,Moderate,Yes,Occasional,High,Rare,Frequent,$50-$200,Social Media
Occasionally,Smartphone,Twitter,E-commerce,Rare,Low,Rare,None,Yes,Occasional,High,Rare,Occasional,>$500,Email
Occasionally,Desktop,Instagram,E-commerce,Rare,Low,Occasional,Frequent,No,None,Moderate,Rare,Rare,<$50,Video Calls
Weekly,Desktop,Instagram,Entertainment,Frequent,High,Frequent,Frequent,No,Active,Low,Occasional,Rare,>$500,Video Calls
Daily,Laptop,LinkedIn,Entertainment,Rare,Low,Frequent,Moderate,No,None,Low,Occasional,Rare,$200-$500,Email
Daily,Smartphone,Instagram,Social,Frequent,High,Rare,None,Yes,Occasional,High,Rare,Rare,>$500,Messaging Apps
Occasionally,Desktop,TikTok,E-commerce,Frequent,High,Rare,Frequent,Yes,Active,Moderate,Occasional,Occasional,<$50,Messaging Apps
Occasionally,Laptop,TikTok,News,Rare,Low,Occasional,None,Yes,None,Low,Frequent,Occasional,>$500,Social Media
Occasionally,Desktop,Twitter,Entertainment,Rare,Moderate,Occasional,None,Yes,None,Low,Occasional,Frequent,$50-$200,Video Calls
Daily,Desktop,Facebook,E-commerce,Moderate,Moderate,Occasional,Frequent,Yes,None,Moderate,Rare,Rare,<$50,Video Calls
Occasionally,Smartphone,Twitter,News,Moderate,Moderate,Rare,Moderate,Yes,Occasional,Moderate,Occasional,Rare,>$500,Social Media
Weekly,Desktop,Facebook,Educational,Rare,Moderate,Rare,None,Yes,None,Moderate,Occasional,Rare,$50-$200,Social Media
Daily,Tablet,Instagram,Entertainment,Frequent,High,Occasional,Moderate,No,Active,Moderate,Rare,Rare,>$500,Messaging Apps
Weekly,Tablet,Instagram,Entertainment,Moderate,Moderate,Occasional,None,Yes,Active,Low,Frequent,Rare,<$50,Messaging Apps
Daily,Laptop,Instagram,E-commerce,Rare,Moderate,Rare,None,Yes,Occasional,Low,Frequent,Frequent,$200-$500,Social Media
Weekly,Tablet,LinkedIn,News,Frequent,Low,Occasional,Moderate,No,Active,Low,Frequent,Rare,>$500,Video Calls
Daily,Desktop,Instagram,Entertainment,Frequent,Low,Occasional,Frequent,No,None,High,Occasional,Rare,<$50,Social Media
Daily,Tablet,LinkedIn,News,Moderate,Low,Occasional,Frequent,No,Occasional,Low,Frequent,Frequent,>$500,Video Calls
Weekly,Desktop,TikTok,E-commerce,Moderate,Moderate,Occasional,None,No,Occasional,Moderate,Rare,Occasional,<$50,Video Calls
Daily,Desktop,Instagram,Entertainment,Moderate,Low,Occasional,Moderate,No,Occasional,High,Frequent,Frequent,<$50,Email
Occasionally,Smartphone,Instagram,Entertainment,Moderate,High,Occasional,None,No,Active,High,Occasional,Occasional,$200-$500,Email
Weekly,Laptop,Facebook,Entertainment,Rare,High,Frequent,Moderate,Yes,Occasional,High,Rare,Rare,$50-$200,Email
Weekly,Tablet,Twitter,News,Frequent,Moderate,Rare,Frequent,Yes,Active,High,Frequent,Occasional,<$50,Messaging Apps
Daily,Desktop,Facebook,Educational,Moderate,Low,Rare,None,Yes,Occasional,High,Frequent,Rare,>$500,Email
Weekly,Tablet,LinkedIn,News,Frequent,Low,Frequent,Moderate,Yes,Active,High,Frequent,Rare,<$50,Social Media
Occasionally,Smartphone,Twitter,Entertainment,Frequent,Low,Rare,Moderate,No,None,Moderate,Occasional,Frequent,$200-$500,Social Media
Weekly,Desktop,Instagram,News,Moderate,High,Rare,Moderate,No,None,Moderate,Frequent,Rare,<$50,Social Media
Occasionally,Smartphone,LinkedIn,E-commerce,Rare,High,Occasional,Moderate,No,None,Moderate,Rare,Rare,$200-$500,Messaging Apps
Occasionally,Desktop,TikTok,Entertainment,Rare,Low,Frequent,Moderate,Yes,Active,High,Occasional,Frequent,$50-$200,Social Media
Occasionally,Desktop,Instagram,Educational,Moderate,High,Rare,Frequent,Yes,None,Moderate,Rare,Frequent,$50-$200,Social Media
Daily,Laptop,Instagram,E-commerce,Rare,Moderate,Rare,Moderate,No,Occasional,High,Occasional,Rare,$50-$200,Video Calls
Occasionally,Smartphone,LinkedIn,Entertainment,Rare,High,Frequent,Moderate,Yes,None,High,Frequent,Occasional,<$50,Social Media
Weekly,Smartphone,Twitter,News,Frequent,Low,Rare,Moderate,No,None,Moderate,Occasional,Rare,$50-$200,Email
Weekly,Laptop,TikTok,Educational,Moderate,Low,Occasional,Moderate,Yes,Occasional,Moderate,Occasional,Rare,$200-$500,Video Calls
Weekly,Desktop,TikTok,Educational,Moderate,High,Rare,None,No,Occasional,Moderate,Rare,Frequent,>$500,Messaging Apps
Weekly,Desktop,Twitter,Entertainment,Moderate,Moderate,Rare,Frequent,Yes,Active,Moderate,Frequent,Frequent,>$500,Social Media
Weekly,Laptop,Twitter,Social,Moderate,Low,Rare,None,Yes,Occasional,Low,Frequent,Rare,$50-$200,Email
Occasionally,Laptop,Twitter,E-commerce,Frequent,Low,Frequent,None,Yes,Active,Low,Rare,Occasional,<$50,Social Media
Occasionally,Smartphone,LinkedIn,Educational,Frequent,Moderate,Occasional,Frequent,No,Occasional,Low,Frequent,Occasional,$200-$500,Social Media
Weekly,Desktop,Instagram,Entertainment,Moderate,Low,Occasional,None,No,None,Low,Rare,Frequent,$50-$200,Messaging Apps
Weekly,Tablet,TikTok,News,Frequent,Moderate,Occasional,None,Yes,Active,Moderate,Occasional,Rare,<$50,Video Calls
Daily,Laptop,Twitter,Educational,Frequent,High,Occasional,Moderate,Yes,None,Moderate,Rare,Frequent,$200-$500,Social Media
Occasionally,Laptop,Instagram,News,Rare,Moderate,Rare,Moderate,Yes,Occasional,Low,Frequent,Occasional,>$500,Email
Occasionally,Smartphone,Instagram,Social,Frequent,High,Rare,None,No,Occasional,Moderate,Frequent,Occasional,$200-$500,Social Media
Weekly,Laptop,Facebook,Social,Rare,Moderate,Rare,Moderate,Yes,Occasional,Low,Rare,Occasional,<$50,Social Media
Daily,Tablet,Facebook,Educational,Moderate,High,Occasional,Frequent,No,None,Low,Occasional,Occasional,$200-$500,Email
Weekly,Laptop,TikTok,Educational,Rare,Low,Frequent,None,No,Occasional,Low,Frequent,Occasional,$200-$500,Video Calls
Weekly,Smartphone,TikTok,Social,Frequent,Low,Occasional,Moderate,No,None,Low,Frequent,Occasional,<$50,Email
Occasionally,Tablet,Facebook,Social,Rare,Low,Frequent,Frequent,No,None,High,Frequent,Frequent,>$500,Messaging Apps
Weekly,Tablet,TikTok,News,Rare,High,Occasional,Frequent,Yes,Active,Moderate,Frequent,Frequent,>$500,Email
Daily,Smartphone,LinkedIn,News,Moderate,Moderate,Rare,Moderate,No,Active,Moderate,Occasional,Frequent,>$500,Messaging Apps
Daily,Smartphone,Twitter,Entertainment,Rare,Moderate,Rare,Frequent,Yes,None,Low,Frequent,Frequent,>$500,Social Media
Daily,Laptop,Twitter,Social,Moderate,Moderate,Rare,Frequent,Yes,Active,High,Occasional,Frequent,<$50,Messaging Apps
Daily,Desktop,Instagram,Educational,Frequent,Moderate,Rare,Frequent,No,Occasional,High,Rare,Rare,>$500,Social Media
Occasionally,Desktop,Twitter,Entertainment,Rare,Low,Rare,Moderate,Yes,None,High,Occasional,Rare,$50-$200,Social Media
Weekly,Desktop,LinkedIn,News,Rare,Low,Frequent,None,No,Active,Low,Frequent,Frequent,<$50,Email
Weekly,Laptop,TikTok,Entertainment,Frequent,Moderate,Occasional,None,Yes,None,High,Occasional,Rare,$50-$200,Video Calls
Daily,Laptop,Facebook,E-commerce,Frequent,High,Frequent,None,Yes,None,High,Rare,Frequent,$50-$200,Email
Weekly,Tablet,Facebook,Social,Rare,Low,Occasional,Frequent,No,None,High,Occasional,Frequent,$50-$200,Email
