credit_score,spending_patterns,savings_account_usage,investment_portfolios,loan_information,mortgage_details,credit_card_usage,insurance_policies,financial_goals,emergency_fund_status,financial_planning_services,budget_adherence,debt_management_practices,tax_planning_strategies,charitable_contributions
Good,Moderate,Occasional,Real Estate,Yes,Yes,Low,Car,Travel,Insufficient,No,Poor,None,Yes,Occasional
Good,Moderate,Frequent,Bonds,Yes,Yes,High,None,Travel,Adequate,Yes,Poor,None,Yes,None
Fair,Low,Frequent,Stocks,Yes,No,Low,Car,Education,Insufficient,No,Excellent,Moderate,Yes,None
Excellent,Moderate,None,Cryptocurrency,No,No,Moderate,Health,Buying a House,Insufficient,Yes,Poor,Aggressive,Yes,Occasional
Poor,High,Occasional,Cryptocurrency,Yes,Yes,Low,Car,None,None,Yes,Good,Moderate,No,Occasional
Fair,Low,Frequent,Stocks,No,No,High,Home,Retirement,Insufficient,Yes,Poor,Conservative,No,Frequent
Excellent,Moderate,Occasional,Bonds,Yes,No,High,Home,Education,None,Yes,Poor,Aggressive,No,Occasional
Good,Low,Frequent,None,Yes,Yes,High,Health,Travel,None,No,Poor,Moderate,No,Occasional
Excellent,Moderate,None,Cryptocurrency,No,Yes,Moderate,None,Education,Adequate,Yes,Fair,Aggressive,Yes,None
Poor,Moderate,Occasional,Bonds,Yes,Yes,High,Home,Buying a House,Adequate,No,Poor,Conservative,Yes,None
Fair,High,Frequent,Cryptocurrency,No,No,Moderate,None,Education,Adequate,Yes,Fair,Conservative,No,None
Good,Low,Frequent,Stocks,No,Yes,High,Health,Education,None,No,Poor,Conservative,Yes,Occasional
Excellent,High,None,Real Estate,No,No,High,Home,Education,Adequate,Yes,Good,None,Yes,Frequent
Poor,Moderate,Frequent,Real Estate,No,Yes,Low,Health,Travel,Adequate,No,Excellent,Moderate,No,Frequent
Fair,High,Occasional,Stocks,Yes,No,High,None,Education,Insufficient,Yes,Excellent,Conservative,No,Frequent
Good,Moderate,Occasional,Bonds,Yes,Yes,High,Health,Travel,None,No,Poor,Moderate,Yes,Occasional
Excellent,High,None,Stocks,No,No,Moderate,None,Buying a House,Adequate,No,Excellent,Conservative,Yes,Frequent
Fair,Moderate,Occasional,Cryptocurrency,Yes,No,Moderate,Car,None,Insufficient,Yes,Poor,Aggressive,No,Frequent
Fair,Low,None,None,Yes,Yes,Moderate,Life,Retirement,Insufficient,Yes,Poor,Moderate,Yes,Occasional
Excellent,High,Frequent,Cryptocurrency,Yes,No,Low,Health,Retirement,None,Yes,Fair,Moderate,Yes,None
Good,High,Frequent,None,No,Yes,Moderate,Life,Buying a House,None,Yes,Excellent,Conservative,No,None
Good,Low,Frequent,Stocks,Yes,Yes,High,Life,Retirement,Adequate,No,Poor,Conservative,No,Frequent
Poor,Moderate,Frequent,Stocks,Yes,No,Low,Health,None,Adequate,Yes,Fair,Aggressive,No,None
Good,Moderate,None,Stocks,Yes,Yes,Moderate,Home,Buying a House,Insufficient,Yes,Good,Aggressive,No,Frequent
Poor,Moderate,Frequent,Bonds,Yes,No,Low,Health,None,Adequate,Yes,Excellent,Aggressive,No,None
Poor,Low,Frequent,Cryptocurrency,No,Yes,Moderate,Home,None,None,No,Fair,Conservative,Yes,Occasional
Fair,Low,Frequent,Stocks,Yes,Yes,Moderate,Home,Travel,Insufficient,Yes,Poor,Conservative,No,Frequent
Poor,Moderate,None,Real Estate,Yes,Yes,Moderate,None,Buying a House,None,No,Excellent,Moderate,Yes,Occasional
Fair,Low,None,Cryptocurrency,Yes,Yes,Low,Home,Retirement,Adequate,No,Fair,Aggressive,No,Frequent
Excellent,High,None,Bonds,No,Yes,Low,Health,Education,None,Yes,Good,Aggressive,No,None
Good,Moderate,Occasional,Stocks,Yes,No,High,Life,Buying a House,Insufficient,Yes,Good,Aggressive,No,Frequent
Excellent,Moderate,Frequent,Real Estate,Yes,Yes,Low,Health,Education,Adequate,Yes,Poor,Aggressive,Yes,None
Poor,High,Occasional,Real Estate,No,Yes,Moderate,Life,None,Insufficient,Yes,Good,None,Yes,Occasional
Excellent,Moderate,None,None,Yes,No,Moderate,Home,None,Insufficient,No,Fair,Conservative,No,Frequent
Excellent,Moderate,Frequent,Real Estate,Yes,No,High,None,None,Adequate,No,Poor,Aggressive,No,Frequent
Poor,Moderate,Occasional,Real Estate,Yes,No,Moderate,Health,Education,Adequate,Yes,Good,Aggressive,Yes,Occasional
Excellent,Low,Frequent,None,Yes,No,Low,Home,Travel,Adequate,Yes,Fair,None,Yes,None
Poor,Low,Occasional,Stocks,No,Yes,Moderate,Life,Buying a House,None,No,Excellent,Conservative,Yes,Occasional
Excellent,Moderate,Frequent,None,Yes,Yes,Low,Home,Buying a House,Adequate,Yes,Poor,Aggressive,No,Frequent
Poor,Low,Occasional,Stocks,No,Yes,Low,Home,Travel,None,Yes,Good,None,No,None
Excellent,High,Frequent,None,No,No,High,Car,Travel,Insufficient,Yes,Excellent,Aggressive,Yes,None
Poor,Low,Frequent,Cryptocurrency,No,Yes,Low,Life,Education,Adequate,Yes,Excellent,Moderate,No,None
Good,Low,Frequent,None,No,No,Moderate,Health,Travel,None,Yes,Fair,Conservative,No,Frequent
Fair,High,None,Bonds,No,No,High,Health,Travel,Adequate,Yes,Fair,None,Yes,Frequent
Poor,High,None,None,No,No,Moderate,Car,Travel,Insufficient,No,Poor,None,No,Frequent
Fair,Low,None,Stocks,No,Yes,High,Life,Education,None,Yes,Good,Moderate,Yes,None
Good,Low,None,Real Estate,Yes,Yes,Low,Life,Travel,Adequate,No,Good,None,Yes,None
Good,Low,Occasional,Stocks,Yes,Yes,High,None,Retirement,Adequate,No,Fair,None,Yes,None
Poor,High,None,None,Yes,No,Low,Home,Travel,Adequate,No,Poor,Aggressive,Yes,Frequent
Excellent,Moderate,None,Cryptocurrency,No,Yes,Low,Life,Travel,Insufficient,Yes,Good,None,No,Frequent
Good,High,Occasional,Real Estate,Yes,No,Low,Life,Education,Insufficient,No,Poor,None,Yes,Frequent
Good,Moderate,None,Bonds,No,Yes,Low,Life,Education,Adequate,Yes,Poor,Moderate,Yes,None
Poor,Moderate,Frequent,Real Estate,No,No,Moderate,Car,Travel,Adequate,No,Poor,Moderate,Yes,Occasional
Good,High,None,Stocks,No,Yes,Low,Health,Buying a House,Insufficient,No,Fair,Conservative,Yes,Occasional
Excellent,Low,Frequent,Cryptocurrency,Yes,No,High,Health,Buying a House,Adequate,Yes,Fair,Moderate,Yes,None
Excellent,High,None,Stocks,Yes,No,Low,Life,Travel,Insufficient,Yes,Fair,Aggressive,Yes,None
Excellent,Moderate,None,Real Estate,No,No,Low,Car,Education,None,No,Excellent,None,Yes,None
Excellent,Moderate,Occasional,None,Yes,No,High,None,Education,None,No,Good,Conservative,Yes,Frequent
Poor,Moderate,Occasional,Bonds,No,Yes,High,Health,None,Adequate,No,Good,Conservative,Yes,None
Poor,Moderate,Frequent,Real Estate,Yes,No,High,Home,None,Adequate,Yes,Good,None,Yes,None
Excellent,High,Frequent,Cryptocurrency,Yes,No,Low,Home,Retirement,Insufficient,Yes,Fair,Moderate,No,None
Poor,Low,None,None,Yes,No,Low,Home,Travel,Insufficient,Yes,Good,Moderate,Yes,None
Fair,Low,Frequent,Bonds,No,Yes,High,Health,Buying a House,Adequate,No,Fair,None,Yes,Occasional
Fair,Low,Occasional,Bonds,No,No,Moderate,Life,Retirement,Insufficient,No,Excellent,Aggressive,Yes,Frequent
Good,Moderate,Occasional,None,No,No,High,Health,Buying a House,Adequate,No,Good,Conservative,No,None
Excellent,Low,Occasional,None,No,No,High,Home,Buying a House,Insufficient,Yes,Poor,None,No,Frequent
Poor,Low,Frequent,Real Estate,Yes,No,Moderate,None,Retirement,Insufficient,Yes,Poor,None,Yes,Occasional
Excellent,High,None,None,Yes,No,High,Car,Travel,Adequate,Yes,Excellent,None,No,Occasional
Good,Moderate,Occasional,Stocks,No,Yes,High,Home,Education,Insufficient,Yes,Poor,Conservative,Yes,None
Poor,Moderate,Frequent,None,No,Yes,Low,Car,Retirement,None,Yes,Fair,Moderate,Yes,None
Excellent,Low,None,None,Yes,No,High,Car,Buying a House,Adequate,Yes,Fair,Aggressive,Yes,None
Excellent,Moderate,None,Cryptocurrency,No,Yes,Low,Car,None,Insufficient,No,Fair,None,No,Occasional
Good,High,Occasional,Bonds,No,No,High,Life,Travel,Adequate,No,Excellent,Moderate,Yes,Frequent
Poor,Low,Frequent,None,No,No,Moderate,Health,Travel,Insufficient,Yes,Good,Conservative,Yes,Frequent
Good,Moderate,Occasional,Real Estate,No,Yes,Moderate,Home,Education,None,No,Good,Moderate,No,Frequent
Excellent,Moderate,Frequent,Real Estate,No,No,Low,Car,Retirement,None,No,Poor,Aggressive,No,None
Good,Moderate,None,Cryptocurrency,Yes,No,High,None,Education,None,No,Good,None,Yes,Occasional
Good,Low,Frequent,Cryptocurrency,No,No,Moderate,None,Education,None,Yes,Good,Aggressive,No,Occasional
Excellent,High,None,Real Estate,No,No,Low,None,Travel,Adequate,No,Fair,None,No,None
Fair,High,None,Stocks,No,No,High,Life,None,None,Yes,Good,Moderate,Yes,None
Fair,Moderate,None,Cryptocurrency,Yes,No,High,Health,Buying a House,None,Yes,Poor,Moderate,No,None
Excellent,High,None,None,Yes,No,Low,Home,Travel,Adequate,Yes,Excellent,Aggressive,No,Frequent
Poor,Low,None,Stocks,Yes,No,Low,Home,Travel,None,Yes,Poor,None,Yes,None
Poor,High,Frequent,Bonds,No,No,Moderate,Home,None,None,No,Fair,None,No,None
Poor,Low,Frequent,Cryptocurrency,No,Yes,Moderate,Car,Buying a House,Adequate,Yes,Poor,Conservative,No,None
Excellent,Moderate,Occasional,Cryptocurrency,No,No,High,Life,None,Adequate,Yes,Good,Conservative,No,Frequent
Excellent,High,Frequent,Bonds,No,Yes,Low,Health,Retirement,None,No,Excellent,Conservative,Yes,None
Good,Moderate,None,Real Estate,No,No,Moderate,Life,Retirement,Insufficient,Yes,Fair,Conservative,No,None
Excellent,High,Occasional,Stocks,Yes,No,Moderate,Life,None,Insufficient,No,Poor,None,Yes,Frequent
Excellent,Low,Frequent,None,No,Yes,Moderate,Health,Travel,Insufficient,Yes,Poor,None,No,None
Good,High,None,Bonds,No,No,Low,Life,Education,Insufficient,No,Good,Conservative,No,Occasional
Poor,Moderate,Occasional,Cryptocurrency,Yes,Yes,High,Home,None,Adequate,No,Excellent,Moderate,No,None
Good,Low,Frequent,None,Yes,Yes,Low,None,Retirement,Insufficient,No,Poor,Moderate,No,Occasional
Good,Low,Frequent,Stocks,No,Yes,High,None,None,None,Yes,Fair,Moderate,No,Frequent
Good,Moderate,None,Real Estate,No,Yes,High,Car,Education,Adequate,No,Fair,Conservative,Yes,Occasional
Fair,High,Frequent,Bonds,Yes,No,High,Home,Retirement,None,Yes,Fair,Moderate,Yes,None
Good,Moderate,None,Cryptocurrency,No,Yes,Low,Health,Education,None,Yes,Excellent,Moderate,Yes,None
Excellent,Low,Occasional,Stocks,No,Yes,High,Car,Buying a House,Adequate,Yes,Poor,Conservative,No,Occasional
Good,Low,Occasional,Real Estate,No,No,Moderate,Car,Travel,None,No,Excellent,None,Yes,Frequent
Poor,High,None,Stocks,No,Yes,Low,Life,Travel,Adequate,No,Poor,None,Yes,None
Good,Moderate,Frequent,None,No,Yes,High,Health,Buying a House,Insufficient,No,Excellent,Aggressive,No,Occasional
Excellent,Moderate,Frequent,Stocks,Yes,No,Moderate,Life,Buying a House,Adequate,Yes,Excellent,Aggressive,Yes,Occasional
Good,Low,Frequent,None,Yes,No,Low,Health,Travel,Insufficient,Yes,Fair,Aggressive,No,Occasional
Good,High,Frequent,None,No,Yes,Moderate,Car,Buying a House,Adequate,No,Fair,Moderate,No,Frequent
Poor,Low,None,Stocks,Yes,No,Moderate,None,None,Adequate,No,Fair,Moderate,No,Occasional
Excellent,Low,Frequent,Cryptocurrency,No,No,Low,Home,Retirement,None,Yes,Excellent,None,Yes,None
Poor,Moderate,None,Real Estate,Yes,No,Low,Car,Education,Insufficient,Yes,Fair,None,Yes,None
Fair,Low,Frequent,Bonds,No,Yes,Moderate,Life,Retirement,None,Yes,Fair,None,Yes,Occasional
Poor,Moderate,Occasional,Cryptocurrency,Yes,Yes,Moderate,None,Retirement,Adequate,Yes,Excellent,Moderate,No,None
Excellent,Moderate,Occasional,Real Estate,Yes,No,High,Health,Buying a House,Adequate,No,Excellent,None,No,Occasional
Fair,High,Occasional,Stocks,Yes,Yes,High,Health,Retirement,Insufficient,No,Poor,None,Yes,None
Good,Moderate,Frequent,Bonds,No,No,Moderate,Life,None,Adequate,Yes,Excellent,Moderate,No,Occasional
Good,High,None,None,Yes,No,Moderate,Car,Retirement,Insufficient,Yes,Fair,Aggressive,Yes,Frequent
Excellent,Low,Frequent,Stocks,Yes,No,Moderate,Home,Travel,None,Yes,Excellent,Conservative,Yes,Occasional
Excellent,Moderate,None,Real Estate,No,No,High,Health,Buying a House,None,Yes,Good,Conservative,Yes,None
Good,High,Occasional,Real Estate,No,No,High,Car,Travel,Insufficient,No,Excellent,None,Yes,Frequent
Fair,Moderate,Frequent,Cryptocurrency,No,Yes,Low,None,Buying a House,None,No,Fair,Aggressive,No,Frequent
Fair,Low,Frequent,None,No,No,Low,None,Retirement,Adequate,No,Excellent,None,Yes,Frequent
Good,High,Frequent,Stocks,Yes,Yes,High,None,Buying a House,Adequate,No,Good,None,Yes,None
Poor,High,None,Cryptocurrency,Yes,No,High,Car,Buying a House,Adequate,Yes,Excellent,Moderate,Yes,Frequent
Fair,Moderate,None,Bonds,No,No,Low,Health,Travel,Insufficient,Yes,Good,None,Yes,Frequent
Excellent,Low,Occasional,Cryptocurrency,No,No,High,None,Buying a House,Adequate,No,Good,None,Yes,None
Fair,Low,None,Bonds,No,Yes,Low,None,None,Insufficient,No,Good,None,No,None
Good,Low,Frequent,Stocks,Yes,Yes,Moderate,Life,Buying a House,Adequate,No,Fair,None,No,Frequent
Excellent,Moderate,None,Cryptocurrency,Yes,No,Moderate,Health,Retirement,Insufficient,Yes,Good,Moderate,Yes,Occasional
Poor,High,None,Stocks,No,No,High,Life,None,Adequate,No,Good,Aggressive,No,Occasional
Excellent,High,Frequent,None,Yes,No,Moderate,Life,Retirement,Adequate,No,Fair,Moderate,Yes,Frequent
Poor,High,Occasional,Bonds,No,No,Low,Health,Education,Adequate,No,Poor,Moderate,Yes,None
Excellent,Low,Occasional,Bonds,No,Yes,Moderate,Health,Travel,None,Yes,Excellent,Aggressive,No,Occasional
Good,Moderate,Frequent,Cryptocurrency,Yes,No,Moderate,None,Retirement,Insufficient,No,Good,Moderate,Yes,Occasional
Excellent,Low,Frequent,Real Estate,Yes,No,Moderate,Car,Retirement,Adequate,Yes,Poor,Aggressive,Yes,Frequent
Poor,Moderate,None,Cryptocurrency,Yes,Yes,High,Life,None,None,Yes,Poor,None,No,Occasional
Good,High,None,Bonds,Yes,Yes,High,Home,Buying a House,Adequate,No,Good,Conservative,No,None
Poor,Low,Frequent,Stocks,No,Yes,Moderate,Home,Buying a House,None,No,Poor,Moderate,No,None
Poor,High,None,Real Estate,Yes,Yes,High,Life,None,Adequate,Yes,Good,Conservative,No,Frequent
Fair,Moderate,Occasional,Cryptocurrency,No,Yes,High,None,Buying a House,None,Yes,Good,None,Yes,Frequent
Fair,Moderate,Frequent,Real Estate,No,Yes,High,Health,None,Insufficient,Yes,Excellent,Moderate,Yes,Occasional
Fair,High,None,Stocks,No,No,High,Car,Retirement,None,Yes,Poor,Aggressive,Yes,Frequent
Poor,High,None,Real Estate,No,Yes,High,Health,Travel,Insufficient,No,Good,None,Yes,None
Excellent,High,Occasional,None,Yes,No,Moderate,Car,None,Adequate,Yes,Good,Moderate,No,Frequent
Good,Low,Occasional,Bonds,Yes,Yes,High,Home,Retirement,Adequate,Yes,Fair,Aggressive,No,None
Good,Low,Frequent,None,Yes,Yes,Moderate,Life,Education,Insufficient,Yes,Good,Aggressive,Yes,Occasional
Good,High,Occasional,Real Estate,Yes,No,Low,Car,Education,Insufficient,No,Poor,Aggressive,Yes,None
Excellent,High,Occasional,Bonds,Yes,No,Moderate,Life,Retirement,Insufficient,Yes,Excellent,Moderate,No,Occasional
Excellent,High,None,Real Estate,Yes,Yes,Low,None,Buying a House,None,No,Fair,Conservative,No,Frequent
Excellent,High,Occasional,Bonds,No,No,Moderate,None,None,None,Yes,Poor,Aggressive,Yes,None
Excellent,High,Frequent,Stocks,No,Yes,High,Life,Retirement,Adequate,No,Poor,None,No,None
Fair,Moderate,None,Bonds,No,Yes,High,Car,None,Insufficient,Yes,Poor,Aggressive,Yes,Occasional
Poor,High,None,Stocks,Yes,Yes,Low,Car,Travel,None,Yes,Poor,Conservative,Yes,Frequent
Good,Moderate,Occasional,Bonds,Yes,Yes,High,Health,Buying a House,Insufficient,Yes,Fair,Conservative,Yes,Frequent
Poor,High,Frequent,Cryptocurrency,No,Yes,Moderate,None,Buying a House,Insufficient,Yes,Fair,Conservative,Yes,None
Poor,High,Occasional,Stocks,No,No,Low,None,Retirement,None,No,Excellent,Moderate,No,None
Excellent,High,Frequent,Bonds,No,Yes,Moderate,Car,Education,None,Yes,Good,Conservative,No,Frequent
Poor,Low,None,Stocks,No,No,Low,Health,Education,Insufficient,No,Poor,Moderate,No,None
Fair,Moderate,Frequent,Real Estate,No,No,Moderate,Health,Education,Adequate,Yes,Fair,Moderate,Yes,Occasional
Good,Low,Occasional,Stocks,Yes,Yes,Low,None,Retirement,Adequate,No,Good,Moderate,No,Occasional
Excellent,Moderate,Occasional,Bonds,Yes,No,High,Home,Retirement,Adequate,No,Good,None,Yes,Frequent
Good,Low,Frequent,Stocks,Yes,Yes,Moderate,Home,Retirement,Adequate,No,Fair,Conservative,No,Occasional
Poor,High,None,Bonds,No,Yes,Moderate,Car,Retirement,Adequate,Yes,Excellent,None,No,None
Excellent,Moderate,None,Stocks,No,Yes,Low,None,Travel,Adequate,Yes,Fair,Conservative,No,Occasional
Good,Low,Frequent,Stocks,Yes,No,High,None,Travel,Insufficient,No,Excellent,Moderate,No,Occasional
Poor,High,Occasional,Real Estate,No,Yes,Low,Car,Education,Adequate,No,Poor,Conservative,No,Occasional
Excellent,Moderate,Occasional,Cryptocurrency,Yes,No,Low,Home,Buying a House,None,Yes,Excellent,None,Yes,Frequent
Fair,High,None,Cryptocurrency,Yes,No,Moderate,Car,Retirement,Adequate,No,Poor,Conservative,No,Frequent
Poor,High,None,Bonds,No,Yes,Moderate,None,Education,None,No,Good,None,No,Frequent
Poor,High,Frequent,Real Estate,Yes,No,High,Home,Buying a House,None,No,Excellent,Aggressive,Yes,None
Excellent,Low,Frequent,None,Yes,Yes,Low,Health,Retirement,Adequate,No,Excellent,None,Yes,Occasional
Poor,Low,Frequent,None,No,No,Low,Health,Retirement,None,No,Excellent,Moderate,No,Frequent
