lifestyle_preferences,personal_values,hobbies,media_consumption,attitudes_towards_technology,risk_tolerance,social_values_orientation,political_affiliation,community_involvement,travel_preferences,cultural_activities_participation,leadership_propensity,charitable_activities,fashion_preferences,privacy_concerns
Sedentary,Adventure,Sports,Magazines,Neutral,High,Collectivist,Conservative,Occasional,International,Occasional,Low,Frequent,Trendy,Low
Active,Career,Travel,Streaming,Resistant,Moderate,Behavioralistic,Independent,Inactive,Luxury,Rare,Moderate,None,Trendy,Low
Balanced,Community,Travel,Social Media,Neutral,Moderate,Behavioralistic,Liberal,Occasional,International,Rare,High,Occasional,Classic,High
Active,Community,Reading,Social Media,Enthusiastic,Low,Collectivist,Conservative,Occasional,Luxury,Occasional,Moderate,Frequent,Minimalist,Low
Balanced,Career,Sports,TV,Resistant,High,Behavioralistic,Independent,Inactive,Domestic,Occasional,Moderate,None,Casual,Moderate
Sedentary,Family,Gaming,Social Media,Enthusiastic,Moderate,Behavioralistic,Conservative,Occasional,Adventure,Rare,Moderate,Frequent,Trendy,Moderate
Balanced,Community,Gaming,Social Media,Neutral,Moderate,Collectivist,Liberal,Inactive,Domestic,Frequent,Moderate,Frequent,Trendy,Moderate
Sedentary,Career,Cooking,Streaming,Neutral,Moderate,Collectivist,Liberal,Occasional,Adventure,Rare,Moderate,Occasional,Minimalist,Low
Sedentary,Family,Reading,TV,Neutral,Moderate,Behavioralistic,Liberal,Occasional,Luxury,Occasional,Low,None,Classic,Low
Sedentary,Community,Sports,Streaming,Resistant,Moderate,Behavioralistic,Liberal,Active,International,Frequent,High,Frequent,Classic,Low
Active,Career,Sports,TV,Neutral,Moderate,Collectivist,Independent,Inactive,Luxury,Occasional,Low,Occasional,Minimalist,Moderate
Balanced,Family,Cooking,Streaming,Enthusiastic,Low,Behavioralistic,Conservative,Active,International,Occasional,Moderate,Frequent,Classic,High
Sedentary,Community,Cooking,TV,Neutral,Moderate,Collectivist,Independent,Active,International,Frequent,High,None,Casual,High
Active,Community,Gaming,News Websites,Neutral,Moderate,Behavioralistic,Independent,Active,International,Occasional,Low,None,Trendy,Low
Active,Family,Sports,TV,Resistant,High,Behavioralistic,Independent,Inactive,Adventure,Frequent,High,Occasional,Classic,Moderate
Sedentary,Career,Cooking,Magazines,Neutral,Moderate,Behavioralistic,Independent,Occasional,Adventure,Occasional,High,Frequent,Casual,Low
Sedentary,Health,Cooking,News Websites,Resistant,Low,Behavioralistic,Liberal,Inactive,Adventure,Occasional,Low,None,Minimalist,High
Active,Community,Travel,Magazines,Resistant,Low,Behavioralistic,Conservative,Inactive,Luxury,Rare,Moderate,Occasional,Trendy,Low
Balanced,Family,Travel,Magazines,Resistant,High,Collectivist,Independent,Active,International,Frequent,Low,None,Minimalist,Low
Balanced,Family,Sports,Magazines,Resistant,High,Collectivist,Conservative,Active,Domestic,Rare,Moderate,Frequent,Classic,Moderate
Balanced,Community,Travel,Social Media,Resistant,High,Behavioralistic,Independent,Inactive,Domestic,Rare,Low,None,Minimalist,Moderate
Active,Adventure,Travel,News Websites,Neutral,Low,Collectivist,Independent,Occasional,Adventure,Rare,Low,Occasional,Casual,High
Active,Health,Gaming,TV,Neutral,Low,Collectivist,Liberal,Occasional,Domestic,Occasional,Low,None,Minimalist,High
Balanced,Career,Cooking,Streaming,Resistant,Low,Behavioralistic,Independent,Inactive,International,Rare,High,Occasional,Minimalist,Low
Balanced,Family,Travel,Social Media,Resistant,Moderate,Collectivist,Independent,Occasional,International,Rare,Moderate,Occasional,Minimalist,Moderate
Active,Career,Cooking,Social Media,Resistant,High,Collectivist,Liberal,Inactive,Adventure,Occasional,Moderate,Frequent,Minimalist,Moderate
Sedentary,Health,Cooking,Magazines,Resistant,High,Behavioralistic,Conservative,Inactive,International,Occasional,High,Frequent,Casual,Moderate
Balanced,Community,Cooking,Magazines,Neutral,Low,Behavioralistic,Liberal,Inactive,Domestic,Rare,Moderate,Occasional,Trendy,High
Balanced,Adventure,Travel,Streaming,Resistant,Low,Behavioralistic,Liberal,Active,Domestic,Occasional,Moderate,Frequent,Classic,Moderate
Balanced,Health,Reading,News Websites,Resistant,High,Collectivist,Independent,Occasional,International,Frequent,Low,None,Minimalist,Low
Sedentary,Adventure,Reading,Magazines,Neutral,Low,Collectivist,Conservative,Occasional,International,Occasional,Low,Frequent,Casual,High
Active,Community,Cooking,TV,Neutral,High,Collectivist,Liberal,Occasional,Luxury,Occasional,High,Frequent,Casual,Moderate
Active,Career,Gaming,News Websites,Enthusiastic,Low,Collectivist,Liberal,Inactive,International,Rare,Moderate,Occasional,Classic,Moderate
Balanced,Adventure,Gaming,News Websites,Enthusiastic,Moderate,Collectivist,Conservative,Active,International,Rare,Moderate,Frequent,Classic,Moderate
Balanced,Health,Reading,Social Media,Neutral,Moderate,Behavioralistic,Independent,Inactive,International,Rare,Moderate,Occasional,Trendy,Moderate
Active,Health,Reading,TV,Enthusiastic,Low,Behavioralistic,Liberal,Occasional,International,Frequent,Moderate,Occasional,Trendy,Moderate
Balanced,Adventure,Cooking,News Websites,Neutral,High,Behavioralistic,Conservative,Inactive,International,Frequent,Low,Frequent,Classic,Low
Active,Career,Sports,News Websites,Enthusiastic,High,Collectivist,Liberal,Active,Adventure,Occasional,Moderate,None,Casual,Low
Sedentary,Career,Travel,Social Media,Enthusiastic,Low,Collectivist,Independent,Occasional,Adventure,Frequent,Moderate,Frequent,Casual,Moderate
Balanced,Career,Travel,Streaming,Resistant,High,Collectivist,Independent,Occasional,International,Occasional,Low,Occasional,Classic,Low
Sedentary,Family,Travel,Streaming,Neutral,Low,Behavioralistic,Independent,Inactive,Luxury,Occasional,High,None,Classic,Low
Active,Career,Gaming,TV,Enthusiastic,Moderate,Collectivist,Conservative,Occasional,International,Occasional,Moderate,Frequent,Trendy,Moderate
Balanced,Family,Sports,Streaming,Resistant,High,Behavioralistic,Conservative,Inactive,Luxury,Occasional,Moderate,Occasional,Trendy,Moderate
Balanced,Adventure,Cooking,Streaming,Resistant,Moderate,Collectivist,Liberal,Active,Luxury,Occasional,Low,None,Trendy,Moderate
Sedentary,Family,Gaming,News Websites,Resistant,High,Collectivist,Liberal,Occasional,Luxury,Occasional,High,Occasional,Classic,High
Sedentary,Family,Gaming,Social Media,Enthusiastic,Low,Collectivist,Liberal,Active,International,Frequent,Low,Occasional,Trendy,High
Sedentary,Career,Gaming,TV,Neutral,Moderate,Collectivist,Liberal,Inactive,Adventure,Rare,Moderate,Frequent,Casual,High
Active,Career,Reading,Social Media,Enthusiastic,Moderate,Collectivist,Independent,Active,Adventure,Rare,Moderate,None,Casual,Low
Sedentary,Community,Travel,Social Media,Resistant,High,Collectivist,Liberal,Active,Domestic,Occasional,Moderate,Occasional,Minimalist,Low
Sedentary,Health,Gaming,Streaming,Resistant,Moderate,Collectivist,Liberal,Active,Adventure,Rare,Moderate,Frequent,Minimalist,Low
Active,Community,Gaming,Social Media,Neutral,High,Collectivist,Conservative,Occasional,Adventure,Rare,Low,Frequent,Minimalist,Moderate
Sedentary,Community,Gaming,Social Media,Resistant,Moderate,Behavioralistic,Liberal,Inactive,International,Frequent,High,Occasional,Classic,High
Sedentary,Health,Gaming,TV,Resistant,Moderate,Collectivist,Liberal,Active,Domestic,Occasional,High,Frequent,Casual,Low
Balanced,Career,Reading,TV,Neutral,Low,Collectivist,Conservative,Active,Domestic,Frequent,Moderate,None,Minimalist,Moderate
Sedentary,Career,Travel,TV,Neutral,High,Behavioralistic,Conservative,Occasional,Adventure,Rare,High,None,Classic,Moderate
Sedentary,Career,Reading,TV,Neutral,High,Behavioralistic,Independent,Active,Luxury,Frequent,Moderate,None,Minimalist,High
Sedentary,Health,Travel,Magazines,Neutral,High,Collectivist,Conservative,Occasional,Luxury,Occasional,High,Frequent,Casual,Low
Sedentary,Health,Gaming,TV,Neutral,Moderate,Collectivist,Conservative,Occasional,Luxury,Occasional,Low,Occasional,Minimalist,Moderate
Active,Community,Sports,Streaming,Neutral,Moderate,Behavioralistic,Independent,Inactive,Luxury,Frequent,High,Frequent,Casual,High
Active,Family,Sports,TV,Neutral,High,Behavioralistic,Liberal,Occasional,International,Occasional,Moderate,Frequent,Casual,High
Active,Adventure,Gaming,Magazines,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Adventure,Occasional,High,None,Minimalist,Low
Balanced,Family,Gaming,TV,Neutral,Low,Behavioralistic,Conservative,Occasional,Adventure,Frequent,High,None,Casual,High
Balanced,Adventure,Cooking,News Websites,Enthusiastic,Low,Behavioralistic,Liberal,Active,Adventure,Rare,Low,Occasional,Classic,Moderate
Sedentary,Family,Reading,Social Media,Enthusiastic,High,Collectivist,Conservative,Occasional,Domestic,Rare,High,Frequent,Minimalist,Moderate
Sedentary,Family,Cooking,Magazines,Enthusiastic,Low,Collectivist,Independent,Occasional,International,Frequent,Moderate,Frequent,Trendy,High
Sedentary,Community,Sports,Streaming,Neutral,Low,Behavioralistic,Conservative,Active,Adventure,Occasional,Low,Occasional,Casual,Low
Active,Career,Sports,News Websites,Neutral,Low,Behavioralistic,Liberal,Active,Luxury,Frequent,Moderate,None,Casual,High
Balanced,Community,Travel,Streaming,Enthusiastic,Low,Behavioralistic,Conservative,Occasional,Adventure,Frequent,Moderate,None,Trendy,High
Sedentary,Career,Reading,Social Media,Resistant,High,Collectivist,Conservative,Occasional,Luxury,Frequent,Low,Occasional,Trendy,High
Sedentary,Health,Travel,Magazines,Neutral,High,Collectivist,Conservative,Active,Domestic,Occasional,Low,None,Trendy,Moderate
Balanced,Health,Cooking,Social Media,Neutral,Low,Behavioralistic,Conservative,Occasional,Adventure,Rare,High,Frequent,Minimalist,Moderate
Balanced,Career,Gaming,News Websites,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,International,Occasional,Moderate,Frequent,Classic,Moderate
Sedentary,Adventure,Sports,TV,Enthusiastic,Moderate,Behavioralistic,Conservative,Active,Luxury,Frequent,Moderate,Frequent,Minimalist,Moderate
Active,Health,Travel,TV,Resistant,Moderate,Collectivist,Conservative,Active,Adventure,Rare,Moderate,None,Casual,Moderate
Sedentary,Career,Reading,Streaming,Enthusiastic,Moderate,Collectivist,Conservative,Active,Adventure,Occasional,High,Frequent,Minimalist,Moderate
Active,Career,Cooking,Streaming,Resistant,Moderate,Collectivist,Independent,Occasional,Adventure,Rare,Low,Occasional,Classic,Moderate
Active,Career,Reading,Magazines,Enthusiastic,High,Collectivist,Liberal,Inactive,International,Frequent,Low,Occasional,Casual,Moderate
Sedentary,Community,Sports,News Websites,Neutral,Low,Behavioralistic,Conservative,Active,Adventure,Rare,High,None,Casual,Low
Balanced,Community,Cooking,Streaming,Resistant,High,Collectivist,Conservative,Active,Domestic,Frequent,High,None,Minimalist,Moderate
Active,Community,Travel,Streaming,Resistant,Moderate,Behavioralistic,Liberal,Occasional,Adventure,Frequent,Moderate,Occasional,Classic,Moderate
Balanced,Community,Sports,Magazines,Resistant,Low,Collectivist,Independent,Inactive,Adventure,Rare,High,Occasional,Classic,Low
Balanced,Health,Gaming,News Websites,Resistant,Low,Behavioralistic,Liberal,Inactive,International,Rare,High,Occasional,Casual,High
Active,Career,Gaming,TV,Enthusiastic,High,Collectivist,Conservative,Inactive,Luxury,Frequent,Low,Frequent,Classic,Low
Sedentary,Career,Sports,News Websites,Neutral,Low,Behavioralistic,Conservative,Active,Domestic,Rare,Moderate,Occasional,Casual,High
Balanced,Family,Sports,TV,Enthusiastic,Moderate,Behavioralistic,Conservative,Occasional,Luxury,Occasional,High,Frequent,Classic,Low
Balanced,Family,Sports,TV,Neutral,High,Collectivist,Conservative,Occasional,Domestic,Frequent,Moderate,None,Casual,Moderate
Sedentary,Community,Sports,Magazines,Resistant,Moderate,Collectivist,Liberal,Active,Luxury,Rare,Moderate,None,Trendy,Low
Active,Health,Reading,Social Media,Neutral,Low,Behavioralistic,Conservative,Inactive,Domestic,Occasional,Moderate,Occasional,Minimalist,Moderate
Balanced,Community,Travel,News Websites,Neutral,Moderate,Behavioralistic,Independent,Occasional,Adventure,Rare,High,None,Classic,High
Balanced,Community,Cooking,News Websites,Enthusiastic,Low,Behavioralistic,Conservative,Active,International,Frequent,High,Frequent,Classic,Moderate
Balanced,Family,Cooking,Streaming,Neutral,High,Collectivist,Liberal,Occasional,Adventure,Rare,High,Occasional,Casual,High
Sedentary,Adventure,Sports,TV,Resistant,High,Collectivist,Conservative,Occasional,Domestic,Occasional,Moderate,None,Minimalist,Moderate
Active,Community,Sports,Social Media,Neutral,High,Behavioralistic,Conservative,Occasional,International,Occasional,High,Frequent,Casual,Moderate
Balanced,Adventure,Travel,News Websites,Neutral,High,Behavioralistic,Conservative,Occasional,Domestic,Occasional,Low,None,Minimalist,High
Sedentary,Community,Gaming,Social Media,Neutral,Low,Behavioralistic,Conservative,Inactive,Domestic,Rare,High,Frequent,Trendy,High
Balanced,Family,Reading,Social Media,Resistant,Moderate,Collectivist,Liberal,Active,Domestic,Occasional,High,Occasional,Classic,Moderate
Active,Family,Cooking,Streaming,Enthusiastic,Low,Collectivist,Liberal,Inactive,Domestic,Rare,Moderate,Frequent,Classic,High
Sedentary,Family,Gaming,Magazines,Neutral,Moderate,Collectivist,Liberal,Occasional,International,Rare,Low,None,Trendy,Low
Active,Family,Sports,Streaming,Resistant,High,Collectivist,Liberal,Occasional,International,Rare,Moderate,None,Casual,Moderate
Balanced,Family,Reading,TV,Neutral,Low,Collectivist,Conservative,Inactive,International,Occasional,High,Frequent,Classic,Moderate
Balanced,Family,Gaming,TV,Resistant,Moderate,Behavioralistic,Liberal,Occasional,International,Frequent,Moderate,Occasional,Minimalist,High
Sedentary,Career,Reading,News Websites,Resistant,High,Collectivist,Conservative,Occasional,Domestic,Occasional,High,None,Casual,High
Balanced,Health,Reading,Streaming,Neutral,High,Behavioralistic,Independent,Occasional,Luxury,Frequent,High,Occasional,Trendy,High
Active,Family,Gaming,TV,Neutral,Moderate,Collectivist,Conservative,Occasional,Domestic,Occasional,High,Frequent,Classic,Moderate
Sedentary,Health,Travel,TV,Resistant,Moderate,Collectivist,Liberal,Occasional,Domestic,Frequent,Moderate,Occasional,Classic,Moderate
Sedentary,Community,Cooking,Streaming,Resistant,Moderate,Behavioralistic,Independent,Active,Adventure,Occasional,High,Frequent,Casual,Low
Sedentary,Adventure,Cooking,Streaming,Neutral,Moderate,Behavioralistic,Conservative,Inactive,Adventure,Frequent,Low,None,Classic,High
Sedentary,Community,Gaming,Magazines,Neutral,Low,Behavioralistic,Liberal,Active,International,Frequent,High,Frequent,Minimalist,Low
Balanced,Adventure,Gaming,News Websites,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Adventure,Frequent,Low,Occasional,Trendy,Moderate
Sedentary,Community,Reading,Social Media,Enthusiastic,Low,Behavioralistic,Independent,Active,Luxury,Frequent,Low,Frequent,Trendy,Low
Balanced,Career,Cooking,Streaming,Resistant,High,Behavioralistic,Conservative,Active,International,Rare,Moderate,Frequent,Casual,Moderate
Balanced,Community,Gaming,Magazines,Resistant,Low,Collectivist,Conservative,Occasional,International,Occasional,Low,None,Minimalist,High
Sedentary,Family,Gaming,TV,Enthusiastic,High,Collectivist,Conservative,Occasional,Domestic,Rare,Low,Frequent,Trendy,High
Active,Career,Cooking,Social Media,Enthusiastic,Moderate,Collectivist,Conservative,Active,Adventure,Frequent,Moderate,Occasional,Classic,High
Balanced,Family,Sports,Streaming,Neutral,Low,Behavioralistic,Conservative,Occasional,International,Rare,Moderate,None,Minimalist,Moderate
Sedentary,Family,Cooking,Magazines,Neutral,Low,Behavioralistic,Independent,Occasional,Domestic,Frequent,Low,Occasional,Minimalist,Moderate
Balanced,Adventure,Gaming,Magazines,Resistant,Low,Collectivist,Conservative,Inactive,Adventure,Rare,High,Occasional,Minimalist,Moderate
Active,Adventure,Sports,TV,Resistant,Moderate,Behavioralistic,Conservative,Inactive,Domestic,Occasional,High,Frequent,Trendy,Low
Sedentary,Family,Reading,Magazines,Enthusiastic,Moderate,Behavioralistic,Independent,Occasional,Luxury,Occasional,Low,Frequent,Minimalist,Moderate
Active,Career,Reading,TV,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Luxury,Frequent,Low,Frequent,Casual,High
Sedentary,Community,Gaming,News Websites,Enthusiastic,Low,Behavioralistic,Liberal,Occasional,Adventure,Occasional,Low,Occasional,Classic,Moderate
Active,Family,Reading,Streaming,Enthusiastic,High,Collectivist,Liberal,Occasional,International,Occasional,Low,Occasional,Trendy,High
Sedentary,Adventure,Sports,News Websites,Neutral,Low,Collectivist,Independent,Active,Domestic,Rare,Moderate,None,Trendy,High
Active,Career,Travel,Streaming,Enthusiastic,Low,Behavioralistic,Conservative,Occasional,Luxury,Frequent,Moderate,Occasional,Classic,Moderate
Balanced,Community,Sports,TV,Enthusiastic,Low,Collectivist,Conservative,Occasional,Adventure,Occasional,High,Frequent,Casual,Moderate
Balanced,Health,Gaming,Magazines,Neutral,Low,Collectivist,Independent,Active,Adventure,Frequent,Low,Occasional,Minimalist,Moderate
Sedentary,Health,Gaming,Streaming,Neutral,Low,Collectivist,Independent,Occasional,Luxury,Frequent,Moderate,None,Trendy,Moderate
Balanced,Health,Travel,Magazines,Resistant,Moderate,Behavioralistic,Conservative,Inactive,International,Occasional,High,None,Minimalist,Low
Balanced,Community,Reading,Streaming,Resistant,High,Collectivist,Conservative,Occasional,Domestic,Frequent,High,Frequent,Trendy,Moderate
Sedentary,Health,Travel,News Websites,Neutral,High,Collectivist,Conservative,Inactive,Luxury,Occasional,Moderate,Frequent,Classic,High
Active,Community,Cooking,TV,Enthusiastic,High,Collectivist,Conservative,Active,Luxury,Frequent,Low,Occasional,Classic,High
Active,Community,Cooking,Magazines,Resistant,Low,Behavioralistic,Liberal,Active,Adventure,Occasional,High,Frequent,Trendy,Low
Active,Health,Travel,Social Media,Enthusiastic,High,Behavioralistic,Liberal,Occasional,International,Rare,Low,Frequent,Minimalist,Moderate
Active,Community,Gaming,Streaming,Resistant,High,Behavioralistic,Liberal,Occasional,Luxury,Frequent,High,Occasional,Casual,Low
Sedentary,Family,Gaming,Streaming,Resistant,Moderate,Collectivist,Independent,Inactive,Domestic,Frequent,High,None,Casual,High
Active,Career,Reading,News Websites,Enthusiastic,Low,Behavioralistic,Independent,Active,Luxury,Occasional,Moderate,None,Classic,Moderate
Balanced,Health,Reading,Magazines,Enthusiastic,Moderate,Behavioralistic,Liberal,Inactive,International,Rare,Moderate,Frequent,Minimalist,Moderate
Active,Family,Cooking,TV,Enthusiastic,Moderate,Behavioralistic,Independent,Occasional,Adventure,Frequent,High,Frequent,Classic,Moderate
Sedentary,Career,Reading,Social Media,Resistant,Moderate,Collectivist,Liberal,Occasional,International,Rare,Low,None,Classic,Moderate
Sedentary,Community,Gaming,Streaming,Neutral,High,Behavioralistic,Independent,Inactive,International,Occasional,Low,Occasional,Minimalist,High
Sedentary,Career,Reading,News Websites,Enthusiastic,Moderate,Collectivist,Liberal,Inactive,International,Frequent,Low,None,Minimalist,Moderate
Sedentary,Health,Gaming,TV,Resistant,Moderate,Behavioralistic,Liberal,Occasional,Luxury,Rare,High,Frequent,Minimalist,Moderate
Sedentary,Career,Gaming,TV,Neutral,High,Behavioralistic,Liberal,Occasional,Domestic,Occasional,High,Frequent,Casual,Low
Balanced,Community,Sports,Magazines,Enthusiastic,Low,Behavioralistic,Liberal,Occasional,Domestic,Rare,Moderate,Occasional,Minimalist,High
Active,Community,Cooking,TV,Enthusiastic,Low,Behavioralistic,Independent,Active,Adventure,Occasional,High,None,Casual,Moderate
Balanced,Family,Travel,News Websites,Enthusiastic,Low,Behavioralistic,Conservative,Occasional,International,Occasional,Moderate,None,Classic,High
Balanced,Adventure,Reading,Streaming,Enthusiastic,High,Collectivist,Conservative,Active,International,Occasional,Low,None,Casual,High
Active,Adventure,Cooking,News Websites,Resistant,Moderate,Behavioralistic,Independent,Active,Adventure,Occasional,Low,None,Classic,Moderate
Sedentary,Career,Travel,Social Media,Enthusiastic,Low,Collectivist,Liberal,Active,Domestic,Frequent,Moderate,None,Classic,High
Balanced,Community,Travel,News Websites,Neutral,Low,Collectivist,Liberal,Occasional,Luxury,Frequent,High,Frequent,Casual,High
Active,Community,Gaming,TV,Neutral,Moderate,Behavioralistic,Conservative,Inactive,International,Occasional,Low,Occasional,Classic,High
Balanced,Adventure,Travel,News Websites,Resistant,High,Behavioralistic,Liberal,Occasional,Luxury,Frequent,Moderate,Occasional,Minimalist,Low
Active,Career,Gaming,TV,Neutral,Low,Behavioralistic,Liberal,Active,Adventure,Rare,High,Occasional,Classic,Moderate
Active,Adventure,Reading,Social Media,Resistant,High,Behavioralistic,Independent,Occasional,Adventure,Occasional,Low,Frequent,Casual,Low
Balanced,Career,Travel,Magazines,Neutral,High,Collectivist,Independent,Active,International,Occasional,Moderate,None,Trendy,Low
Balanced,Career,Sports,Social Media,Neutral,Low,Collectivist,Conservative,Active,Luxury,Rare,Moderate,Occasional,Minimalist,Low
Balanced,Adventure,Cooking,News Websites,Neutral,Moderate,Behavioralistic,Liberal,Active,Adventure,Rare,Low,None,Classic,Low
Sedentary,Health,Reading,Magazines,Enthusiastic,Moderate,Behavioralistic,Liberal,Active,Adventure,Rare,Low,Frequent,Trendy,Low
Active,Community,Gaming,Social Media,Enthusiastic,High,Collectivist,Conservative,Inactive,Luxury,Rare,Moderate,Frequent,Trendy,Moderate
Active,Adventure,Reading,Magazines,Resistant,High,Collectivist,Independent,Occasional,Adventure,Occasional,Moderate,Occasional,Classic,Low
Sedentary,Family,Gaming,News Websites,Resistant,High,Collectivist,Conservative,Inactive,Adventure,Frequent,Low,Frequent,Trendy,Moderate
Sedentary,Community,Cooking,Streaming,Neutral,Low,Collectivist,Liberal,Inactive,Luxury,Rare,Moderate,Frequent,Minimalist,Low
Active,Adventure,Gaming,Social Media,Resistant,Low,Behavioralistic,Independent,Active,Domestic,Rare,Low,Occasional,Minimalist,Low
Balanced,Health,Reading,Social Media,Enthusiastic,Low,Behavioralistic,Liberal,Active,Domestic,Frequent,Moderate,Frequent,Minimalist,High
