lifestyle_preferences,personal_values,hobbies,media_consumption,attitudes_towards_technology,risk_tolerance,social_values_orientation,political_affiliation,community_involvement,travel_preferences,cultural_activities_participation,leadership_propensity,charitable_activities,fashion_preferences,privacy_concerns
Active,Community,Travel,TV,Enthusiastic,Moderate,Collectivist,Conservative,Inactive,Adventure,Frequent,High,None,Casual,High
Sedentary,Health,Gaming,TV,Neutral,Low,Collectivist,Conservative,Active,International,Occasional,Low,Frequent,Casual,Moderate
Sedentary,Family,Travel,Social Media,Resistant,Moderate,Collectivist,Conservative,Active,Domestic,Frequent,High,None,Casual,Low
Balanced,Adventure,Reading,Social Media,Resistant,Moderate,Behavioralistic,Liberal,Inactive,International,Rare,High,Occasional,Casual,Low
Balanced,Health,Gaming,News Websites,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Adventure,Frequent,Moderate,None,Trendy,High
Active,Career,Sports,Magazines,Resistant,Low,Collectivist,Conservative,Occasional,Domestic,Frequent,High,None,Minimalist,Low
Active,Family,Gaming,TV,Resistant,Moderate,Behavioralistic,Independent,Occasional,International,Rare,High,Frequent,Casual,Moderate
Sedentary,Adventure,Gaming,Social Media,Resistant,Moderate,Collectivist,Conservative,Occasional,Domestic,Frequent,Moderate,None,Trendy,Low
Active,Family,Reading,News Websites,Enthusiastic,Low,Behavioralistic,Liberal,Active,Domestic,Occasional,High,None,Trendy,Moderate
Active,Health,Cooking,Magazines,Enthusiastic,High,Collectivist,Liberal,Occasional,Domestic,Occasional,Low,Occasional,Minimalist,Moderate
Sedentary,Health,Cooking,Social Media,Neutral,High,Collectivist,Independent,Active,Adventure,Rare,High,Occasional,Minimalist,Low
Active,Community,Travel,News Websites,Neutral,Moderate,Behavioralistic,Independent,Active,Domestic,Rare,Moderate,Frequent,Minimalist,Low
Balanced,Career,Sports,TV,Enthusiastic,Low,Behavioralistic,Conservative,Occasional,International,Frequent,High,Frequent,Casual,High
Active,Career,Travel,Magazines,Resistant,Low,Behavioralistic,Liberal,Occasional,International,Rare,Low,Occasional,Minimalist,Moderate
Sedentary,Career,Travel,Social Media,Neutral,High,Collectivist,Liberal,Active,Luxury,Rare,Low,Occasional,Trendy,Low
Sedentary,Community,Reading,TV,Resistant,Moderate,Collectivist,Conservative,Active,Luxury,Frequent,Moderate,Occasional,Classic,High
Balanced,Career,Cooking,Magazines,Resistant,Moderate,Behavioralistic,Liberal,Active,Domestic,Occasional,High,Occasional,Minimalist,Moderate
Balanced,Health,Travel,Social Media,Resistant,Low,Behavioralistic,Independent,Inactive,International,Frequent,High,Occasional,Trendy,Moderate
Sedentary,Community,Reading,Magazines,Enthusiastic,Moderate,Behavioralistic,Liberal,Active,Adventure,Occasional,High,Frequent,Casual,Low
Sedentary,Community,Cooking,Streaming,Resistant,Moderate,Behavioralistic,Independent,Active,Adventure,Occasional,Low,Occasional,Trendy,High
Active,Adventure,Cooking,Social Media,Neutral,Low,Collectivist,Independent,Occasional,Luxury,Frequent,Low,Occasional,Minimalist,High
Active,Career,Sports,News Websites,Neutral,High,Collectivist,Conservative,Inactive,Domestic,Frequent,High,Frequent,Minimalist,Low
Active,Family,Travel,TV,Neutral,High,Collectivist,Conservative,Inactive,International,Rare,Low,Frequent,Trendy,Moderate
Balanced,Family,Cooking,Magazines,Neutral,High,Behavioralistic,Conservative,Occasional,Adventure,Frequent,High,Occasional,Classic,Moderate
Balanced,Adventure,Sports,Magazines,Neutral,Low,Collectivist,Independent,Occasional,International,Frequent,Low,Frequent,Casual,Moderate
Active,Community,Cooking,TV,Neutral,High,Behavioralistic,Independent,Occasional,Adventure,Occasional,Low,Occasional,Casual,Low
Sedentary,Family,Gaming,Magazines,Enthusiastic,Moderate,Behavioralistic,Independent,Occasional,Adventure,Occasional,High,Occasional,Minimalist,Moderate
Sedentary,Health,Sports,Magazines,Neutral,Moderate,Collectivist,Conservative,Inactive,Luxury,Occasional,High,Occasional,Minimalist,Low
Sedentary,Family,Cooking,TV,Neutral,Low,Collectivist,Conservative,Occasional,Luxury,Frequent,Low,Occasional,Classic,Moderate
Balanced,Adventure,Reading,Social Media,Resistant,Moderate,Collectivist,Independent,Occasional,Adventure,Rare,Moderate,None,Trendy,Low
Sedentary,Community,Reading,Magazines,Resistant,Low,Behavioralistic,Conservative,Inactive,Adventure,Rare,Low,Frequent,Classic,Moderate
Balanced,Community,Travel,Streaming,Enthusiastic,Low,Behavioralistic,Liberal,Inactive,Adventure,Rare,Low,None,Casual,Low
Active,Adventure,Reading,Social Media,Enthusiastic,High,Behavioralistic,Conservative,Occasional,Luxury,Frequent,Moderate,Occasional,Trendy,High
Balanced,Career,Reading,Magazines,Enthusiastic,Low,Collectivist,Independent,Active,Luxury,Occasional,Low,Occasional,Classic,Low
Balanced,Community,Reading,TV,Resistant,Low,Behavioralistic,Conservative,Active,Luxury,Rare,High,Occasional,Casual,Low
Sedentary,Adventure,Reading,Magazines,Enthusiastic,High,Behavioralistic,Liberal,Inactive,Luxury,Occasional,Moderate,None,Minimalist,Moderate
Active,Family,Reading,Social Media,Neutral,Moderate,Collectivist,Liberal,Occasional,Domestic,Frequent,Moderate,Frequent,Minimalist,Moderate
Active,Family,Reading,TV,Neutral,Low,Collectivist,Conservative,Occasional,Adventure,Occasional,Low,None,Minimalist,High
Sedentary,Adventure,Reading,TV,Neutral,Moderate,Behavioralistic,Conservative,Inactive,Luxury,Occasional,Moderate,Occasional,Casual,Moderate
Sedentary,Career,Travel,Social Media,Enthusiastic,High,Behavioralistic,Conservative,Inactive,Domestic,Occasional,High,None,Minimalist,Moderate
Balanced,Health,Cooking,Streaming,Neutral,High,Behavioralistic,Independent,Occasional,Luxury,Rare,High,None,Minimalist,High
Balanced,Adventure,Reading,Social Media,Resistant,Low,Collectivist,Liberal,Occasional,Adventure,Frequent,High,Frequent,Casual,Low
Sedentary,Community,Reading,Magazines,Neutral,Low,Behavioralistic,Independent,Inactive,Domestic,Rare,Low,Occasional,Minimalist,Low
Active,Community,Gaming,TV,Neutral,Moderate,Collectivist,Conservative,Active,Domestic,Occasional,High,Occasional,Classic,Low
Sedentary,Health,Cooking,Streaming,Enthusiastic,High,Behavioralistic,Liberal,Active,Domestic,Rare,Moderate,None,Classic,High
Active,Family,Travel,Social Media,Resistant,Moderate,Behavioralistic,Liberal,Active,Adventure,Rare,Low,Occasional,Minimalist,Low
Sedentary,Career,Gaming,Social Media,Neutral,Low,Behavioralistic,Independent,Active,International,Occasional,Low,Frequent,Trendy,Moderate
Active,Adventure,Sports,Social Media,Enthusiastic,Moderate,Collectivist,Independent,Inactive,Domestic,Occasional,Moderate,Occasional,Minimalist,Moderate
Balanced,Health,Gaming,TV,Enthusiastic,Low,Behavioralistic,Independent,Inactive,Luxury,Frequent,Moderate,None,Classic,High
Sedentary,Family,Sports,Streaming,Neutral,High,Behavioralistic,Conservative,Active,Adventure,Rare,High,Frequent,Minimalist,Low
Active,Career,Gaming,News Websites,Resistant,Low,Behavioralistic,Conservative,Occasional,International,Frequent,Moderate,None,Minimalist,High
Sedentary,Health,Reading,Streaming,Resistant,Moderate,Behavioralistic,Liberal,Active,Domestic,Rare,High,Frequent,Minimalist,Moderate
Balanced,Family,Gaming,Social Media,Enthusiastic,High,Behavioralistic,Conservative,Inactive,Domestic,Frequent,Low,None,Classic,High
Sedentary,Health,Reading,Magazines,Neutral,Moderate,Behavioralistic,Independent,Inactive,Adventure,Frequent,High,Occasional,Classic,High
Sedentary,Community,Sports,Magazines,Neutral,High,Behavioralistic,Independent,Active,International,Frequent,Low,Frequent,Classic,Low
Sedentary,Community,Reading,Streaming,Enthusiastic,Moderate,Collectivist,Independent,Inactive,International,Frequent,Low,Occasional,Casual,Moderate
Active,Adventure,Gaming,News Websites,Neutral,Low,Behavioralistic,Liberal,Occasional,International,Occasional,Low,Frequent,Minimalist,High
Balanced,Adventure,Cooking,Magazines,Resistant,Moderate,Collectivist,Conservative,Occasional,Luxury,Occasional,High,Occasional,Minimalist,High
Balanced,Community,Reading,Streaming,Resistant,High,Behavioralistic,Independent,Active,Luxury,Occasional,Low,None,Classic,Low
Active,Community,Reading,TV,Neutral,Low,Behavioralistic,Independent,Active,Domestic,Occasional,High,Occasional,Classic,Low
Active,Adventure,Sports,TV,Resistant,Moderate,Behavioralistic,Conservative,Active,International,Frequent,High,None,Trendy,Moderate
Sedentary,Community,Sports,Magazines,Neutral,Low,Collectivist,Independent,Active,Luxury,Rare,Moderate,Occasional,Trendy,Low
Sedentary,Career,Travel,Magazines,Neutral,Low,Collectivist,Conservative,Active,Domestic,Frequent,Moderate,Frequent,Casual,Low
Balanced,Community,Travel,TV,Neutral,Moderate,Behavioralistic,Liberal,Occasional,International,Frequent,Low,None,Minimalist,High
Balanced,Health,Sports,News Websites,Neutral,High,Behavioralistic,Conservative,Inactive,Domestic,Rare,Moderate,None,Classic,Low
Sedentary,Adventure,Reading,Magazines,Resistant,Moderate,Collectivist,Liberal,Active,Adventure,Rare,High,None,Casual,High
Sedentary,Career,Sports,Social Media,Enthusiastic,Moderate,Collectivist,Independent,Occasional,Domestic,Rare,Moderate,None,Classic,Low
Balanced,Community,Reading,News Websites,Enthusiastic,High,Behavioralistic,Independent,Inactive,International,Occasional,Moderate,Occasional,Classic,High
Active,Health,Reading,Social Media,Resistant,High,Collectivist,Conservative,Occasional,Adventure,Frequent,Low,None,Classic,Moderate
Balanced,Adventure,Reading,Social Media,Enthusiastic,Moderate,Collectivist,Conservative,Active,Luxury,Frequent,High,None,Classic,Low
Balanced,Community,Sports,Magazines,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Domestic,Occasional,Low,Occasional,Classic,High
Active,Adventure,Sports,TV,Neutral,Low,Collectivist,Liberal,Active,Domestic,Frequent,Low,None,Casual,High
Active,Career,Reading,Magazines,Enthusiastic,High,Behavioralistic,Conservative,Occasional,International,Rare,Low,Frequent,Classic,Low
Active,Community,Travel,News Websites,Resistant,High,Behavioralistic,Conservative,Occasional,Domestic,Occasional,Moderate,None,Casual,Low
Balanced,Family,Travel,News Websites,Resistant,High,Behavioralistic,Conservative,Inactive,Adventure,Occasional,Moderate,Frequent,Minimalist,High
Sedentary,Health,Cooking,TV,Resistant,High,Behavioralistic,Independent,Occasional,Adventure,Frequent,Moderate,None,Casual,Low
Sedentary,Adventure,Travel,Magazines,Neutral,Low,Behavioralistic,Independent,Occasional,International,Occasional,Moderate,Frequent,Casual,High
Active,Health,Cooking,TV,Resistant,Low,Behavioralistic,Conservative,Active,Adventure,Occasional,High,None,Minimalist,Moderate
Sedentary,Career,Reading,Social Media,Resistant,Low,Behavioralistic,Conservative,Inactive,International,Frequent,Moderate,Frequent,Casual,Low
Balanced,Health,Sports,News Websites,Enthusiastic,High,Collectivist,Liberal,Active,Luxury,Rare,Moderate,Occasional,Classic,Low
Active,Career,Sports,Streaming,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,International,Frequent,High,Frequent,Trendy,Moderate
Active,Career,Cooking,Magazines,Resistant,High,Collectivist,Liberal,Inactive,Luxury,Occasional,High,Frequent,Trendy,Moderate
Active,Adventure,Gaming,TV,Resistant,Low,Behavioralistic,Liberal,Inactive,Domestic,Frequent,High,None,Minimalist,Low
Active,Adventure,Cooking,Streaming,Enthusiastic,Low,Behavioralistic,Liberal,Active,Adventure,Frequent,High,Frequent,Classic,High
Active,Family,Travel,Streaming,Resistant,High,Collectivist,Independent,Active,Domestic,Rare,High,Occasional,Trendy,Moderate
Balanced,Family,Gaming,Social Media,Neutral,High,Collectivist,Conservative,Occasional,Domestic,Occasional,Low,Frequent,Minimalist,Low
Active,Career,Gaming,TV,Resistant,High,Collectivist,Independent,Inactive,Domestic,Frequent,Moderate,Frequent,Classic,High
Active,Health,Travel,Streaming,Enthusiastic,Moderate,Collectivist,Conservative,Inactive,Adventure,Occasional,High,Frequent,Casual,Low
Balanced,Health,Cooking,News Websites,Resistant,Low,Behavioralistic,Liberal,Inactive,Domestic,Occasional,High,None,Minimalist,Moderate
Active,Adventure,Travel,News Websites,Enthusiastic,High,Collectivist,Liberal,Active,Luxury,Occasional,High,Frequent,Minimalist,High
Active,Adventure,Gaming,Social Media,Neutral,High,Collectivist,Liberal,Inactive,Luxury,Occasional,Low,Occasional,Casual,Low
Active,Career,Gaming,TV,Enthusiastic,Low,Collectivist,Independent,Inactive,Luxury,Frequent,Low,None,Minimalist,Low
Sedentary,Community,Travel,TV,Neutral,High,Behavioralistic,Conservative,Active,Adventure,Frequent,Low,Occasional,Casual,Low
Balanced,Health,Travel,News Websites,Enthusiastic,High,Collectivist,Liberal,Occasional,Adventure,Frequent,Moderate,Occasional,Minimalist,High
Active,Career,Gaming,Magazines,Neutral,Moderate,Behavioralistic,Independent,Active,Adventure,Frequent,High,Occasional,Classic,Moderate
Sedentary,Career,Gaming,News Websites,Neutral,Moderate,Collectivist,Independent,Inactive,Luxury,Rare,Low,Frequent,Trendy,High
Sedentary,Career,Cooking,Social Media,Neutral,Moderate,Behavioralistic,Liberal,Inactive,Luxury,Frequent,Moderate,None,Classic,High
Active,Adventure,Reading,News Websites,Enthusiastic,High,Collectivist,Liberal,Occasional,Domestic,Frequent,Moderate,None,Minimalist,High
Balanced,Community,Gaming,Streaming,Enthusiastic,Moderate,Collectivist,Conservative,Active,International,Occasional,Moderate,Occasional,Casual,High
Balanced,Health,Sports,TV,Enthusiastic,High,Behavioralistic,Independent,Inactive,International,Rare,High,Occasional,Casual,High
Balanced,Adventure,Cooking,Magazines,Neutral,Moderate,Behavioralistic,Independent,Occasional,Domestic,Frequent,Moderate,Occasional,Casual,Moderate
Balanced,Family,Reading,Streaming,Resistant,Moderate,Collectivist,Liberal,Occasional,Adventure,Frequent,High,Frequent,Casual,High
Balanced,Adventure,Cooking,Social Media,Resistant,High,Behavioralistic,Liberal,Inactive,Luxury,Frequent,Moderate,Frequent,Minimalist,Low
Balanced,Family,Sports,Magazines,Enthusiastic,High,Behavioralistic,Independent,Inactive,International,Rare,High,Occasional,Casual,High
Balanced,Family,Gaming,TV,Resistant,Low,Behavioralistic,Liberal,Active,Domestic,Frequent,High,Frequent,Minimalist,Low
Balanced,Community,Reading,Magazines,Resistant,Low,Collectivist,Conservative,Occasional,Luxury,Frequent,Low,None,Classic,High
Sedentary,Health,Reading,Social Media,Enthusiastic,High,Collectivist,Liberal,Inactive,Adventure,Occasional,High,None,Classic,High
Balanced,Health,Reading,TV,Neutral,Moderate,Collectivist,Liberal,Inactive,International,Frequent,Low,Occasional,Trendy,Moderate
Active,Family,Travel,Streaming,Resistant,High,Behavioralistic,Liberal,Inactive,Luxury,Frequent,Moderate,Occasional,Minimalist,Low
Balanced,Career,Reading,TV,Resistant,Low,Collectivist,Liberal,Inactive,Adventure,Frequent,High,Frequent,Minimalist,High
Sedentary,Career,Cooking,Magazines,Resistant,High,Collectivist,Conservative,Occasional,Domestic,Rare,Moderate,Frequent,Trendy,Moderate
Balanced,Family,Reading,Streaming,Neutral,Moderate,Collectivist,Liberal,Occasional,Luxury,Frequent,Low,Frequent,Casual,Low
Sedentary,Community,Gaming,TV,Enthusiastic,Low,Behavioralistic,Independent,Occasional,Luxury,Frequent,High,Occasional,Minimalist,High
Sedentary,Career,Reading,Streaming,Neutral,Low,Behavioralistic,Independent,Active,Luxury,Rare,Low,Frequent,Trendy,Low
Active,Family,Travel,News Websites,Resistant,Moderate,Collectivist,Independent,Occasional,Adventure,Frequent,High,Occasional,Trendy,High
Active,Career,Travel,Magazines,Enthusiastic,High,Behavioralistic,Liberal,Active,Luxury,Occasional,Low,Occasional,Casual,High
Active,Career,Reading,Magazines,Neutral,Low,Behavioralistic,Conservative,Active,Luxury,Rare,High,None,Classic,High
Balanced,Health,Cooking,Magazines,Neutral,High,Collectivist,Independent,Inactive,Adventure,Rare,High,None,Casual,Moderate
Balanced,Health,Cooking,Magazines,Resistant,Moderate,Behavioralistic,Independent,Occasional,Adventure,Rare,Moderate,Frequent,Minimalist,High
Sedentary,Family,Cooking,Social Media,Neutral,High,Behavioralistic,Independent,Inactive,Domestic,Rare,Low,Frequent,Casual,Moderate
Sedentary,Career,Sports,Magazines,Enthusiastic,Low,Behavioralistic,Conservative,Active,Domestic,Rare,High,None,Minimalist,Low
Active,Community,Travel,Social Media,Neutral,Low,Collectivist,Independent,Active,International,Rare,High,Occasional,Classic,Low
Active,Community,Sports,Social Media,Neutral,Low,Collectivist,Independent,Active,Luxury,Occasional,Moderate,None,Minimalist,Low
Active,Family,Gaming,Streaming,Resistant,Low,Behavioralistic,Liberal,Inactive,International,Rare,High,None,Casual,Moderate
Sedentary,Career,Gaming,Streaming,Resistant,High,Behavioralistic,Liberal,Active,Luxury,Occasional,Low,Frequent,Classic,High
Active,Health,Sports,News Websites,Resistant,High,Behavioralistic,Liberal,Active,Adventure,Occasional,Low,Frequent,Minimalist,High
Balanced,Community,Reading,TV,Neutral,Low,Collectivist,Conservative,Active,Luxury,Occasional,Low,None,Casual,Low
Sedentary,Health,Gaming,Streaming,Enthusiastic,High,Collectivist,Liberal,Inactive,Domestic,Frequent,Low,None,Classic,High
Balanced,Career,Gaming,TV,Enthusiastic,Low,Collectivist,Conservative,Inactive,International,Occasional,Moderate,Frequent,Minimalist,Low
Active,Health,Cooking,TV,Enthusiastic,Moderate,Behavioralistic,Independent,Occasional,Domestic,Rare,Low,None,Trendy,High
Sedentary,Health,Gaming,Magazines,Resistant,Low,Behavioralistic,Independent,Occasional,Domestic,Occasional,Low,None,Minimalist,Moderate
Balanced,Health,Cooking,Social Media,Resistant,High,Collectivist,Liberal,Active,Domestic,Occasional,Moderate,None,Trendy,High
Active,Adventure,Travel,Social Media,Enthusiastic,Low,Collectivist,Conservative,Inactive,Luxury,Frequent,Low,Occasional,Classic,Moderate
Sedentary,Community,Sports,TV,Neutral,High,Collectivist,Independent,Occasional,Luxury,Frequent,Moderate,Frequent,Casual,Moderate
Sedentary,Family,Reading,News Websites,Neutral,Low,Collectivist,Independent,Inactive,International,Rare,Low,Frequent,Classic,Moderate
Active,Health,Cooking,TV,Resistant,High,Collectivist,Independent,Active,International,Rare,High,None,Classic,Low
Balanced,Community,Sports,TV,Neutral,High,Behavioralistic,Conservative,Inactive,International,Occasional,Moderate,Frequent,Casual,High
Sedentary,Career,Cooking,Streaming,Neutral,High,Behavioralistic,Liberal,Occasional,International,Occasional,High,Occasional,Casual,Moderate
Sedentary,Career,Sports,Social Media,Neutral,Low,Behavioralistic,Conservative,Active,International,Occasional,Moderate,None,Trendy,High
Balanced,Family,Reading,Streaming,Enthusiastic,Low,Collectivist,Independent,Active,Domestic,Occasional,High,None,Trendy,Moderate
Active,Health,Travel,Magazines,Resistant,Low,Behavioralistic,Conservative,Active,Domestic,Rare,High,Frequent,Minimalist,Low
Balanced,Health,Travel,News Websites,Resistant,Moderate,Behavioralistic,Independent,Inactive,Adventure,Frequent,High,Frequent,Trendy,Low
Active,Adventure,Sports,Social Media,Neutral,Moderate,Behavioralistic,Independent,Inactive,Domestic,Frequent,High,Frequent,Classic,High
Sedentary,Career,Gaming,Social Media,Enthusiastic,Moderate,Collectivist,Conservative,Occasional,Adventure,Occasional,Moderate,None,Classic,Low
Balanced,Adventure,Travel,News Websites,Enthusiastic,Low,Behavioralistic,Independent,Inactive,Adventure,Frequent,Moderate,None,Classic,High
Active,Community,Gaming,TV,Enthusiastic,Moderate,Collectivist,Conservative,Occasional,Luxury,Occasional,Moderate,None,Trendy,Moderate
Sedentary,Career,Cooking,TV,Neutral,Low,Behavioralistic,Conservative,Occasional,Domestic,Rare,Low,None,Classic,High
Sedentary,Community,Cooking,News Websites,Resistant,Low,Behavioralistic,Conservative,Inactive,Luxury,Rare,Low,Frequent,Classic,Moderate
Balanced,Career,Reading,Magazines,Resistant,Moderate,Behavioralistic,Conservative,Inactive,International,Occasional,Low,None,Trendy,Low
Balanced,Health,Sports,Social Media,Neutral,Low,Collectivist,Independent,Active,Adventure,Rare,Low,Frequent,Trendy,Moderate
Active,Health,Travel,Magazines,Resistant,Moderate,Behavioralistic,Liberal,Active,Luxury,Occasional,Low,Frequent,Minimalist,High
Balanced,Community,Cooking,Streaming,Resistant,Moderate,Collectivist,Liberal,Active,Luxury,Occasional,Low,None,Classic,High
Balanced,Health,Travel,Streaming,Resistant,Moderate,Behavioralistic,Liberal,Inactive,Luxury,Frequent,Moderate,Frequent,Classic,Moderate
Active,Family,Reading,News Websites,Neutral,Moderate,Behavioralistic,Conservative,Active,Luxury,Frequent,High,Occasional,Minimalist,High
Sedentary,Community,Gaming,News Websites,Enthusiastic,Low,Behavioralistic,Conservative,Occasional,Adventure,Rare,Low,None,Minimalist,Moderate
Sedentary,Family,Cooking,News Websites,Enthusiastic,Moderate,Behavioralistic,Independent,Inactive,Adventure,Frequent,High,Occasional,Trendy,Low
Sedentary,Health,Cooking,TV,Enthusiastic,High,Behavioralistic,Independent,Active,Luxury,Rare,Low,None,Classic,Moderate
Sedentary,Adventure,Sports,Magazines,Resistant,Low,Collectivist,Independent,Inactive,International,Occasional,High,Frequent,Trendy,Low
Active,Community,Sports,TV,Neutral,High,Collectivist,Conservative,Active,Adventure,Frequent,Moderate,Occasional,Casual,Low
Sedentary,Family,Cooking,TV,Neutral,Moderate,Collectivist,Independent,Active,Adventure,Frequent,Moderate,Occasional,Trendy,Moderate
Sedentary,Adventure,Travel,News Websites,Neutral,Moderate,Behavioralistic,Conservative,Inactive,International,Occasional,High,Occasional,Classic,High
Active,Family,Travel,Magazines,Enthusiastic,Moderate,Behavioralistic,Conservative,Inactive,Domestic,Occasional,High,None,Casual,Low
Balanced,Health,Travel,News Websites,Neutral,Moderate,Collectivist,Independent,Active,Adventure,Rare,High,Frequent,Casual,Moderate
Balanced,Family,Reading,Social Media,Neutral,Low,Behavioralistic,Liberal,Occasional,Luxury,Occasional,Moderate,Frequent,Minimalist,High
Balanced,Career,Sports,News Websites,Enthusiastic,High,Behavioralistic,Liberal,Active,International,Frequent,Moderate,Occasional,Classic,Moderate
Balanced,Adventure,Travel,News Websites,Enthusiastic,Moderate,Behavioralistic,Independent,Inactive,International,Frequent,Low,Occasional,Classic,Moderate
Balanced,Family,Reading,News Websites,Resistant,High,Behavioralistic,Liberal,Occasional,International,Rare,High,None,Casual,High
Balanced,Family,Reading,News Websites,Enthusiastic,Moderate,Collectivist,Liberal,Inactive,International,Frequent,Moderate,None,Casual,Low
Active,Career,Cooking,Social Media,Neutral,Moderate,Behavioralistic,Liberal,Active,Adventure,Frequent,High,Frequent,Trendy,Low
