technology_purchase_history,device_usage_patterns,tech-savvy_level,online_security_measures,software_use_preferences,smart_home_devices_adopted,diy_vs._professional_tech_use,tech_support_utilization,interest_in_emerging_tech,e-government_participation,digital_literacy_assessment,open_source_vs._proprietary_preferences,cloud_service_usage,online_subscription_services,tech_event_attendance
Rare,Laptop,Moderate,Weak,Open Source,Yes,DIY,Frequent,Low,No,High,Proprietary,Frequent,Yes,None
Rare,Tablet,Moderate,None,Open Source,Yes,Professional,Frequent,High,No,Low,Mixed,None,Yes,Occasional
Occasional,Tablet,Low,Strong,Open Source,Yes,DIY,None,Moderate,No,High,Mixed,Frequent,Yes,Occasional
Frequent,Laptop,Low,None,Open Source,Yes,DIY,None,Low,No,High,Proprietary,Occasional,No,Frequent
None,Tablet,Moderate,Strong,Proprietary,No,Mixed,None,Moderate,No,High,Mixed,Frequent,No,None
None,Smartphone,Low,Strong,Mixed,No,Mixed,Frequent,High,Yes,High,Proprietary,None,No,Frequent
Frequent,Laptop,Low,Strong,Mixed,Yes,DIY,Frequent,Low,Yes,Moderate,Proprietary,Frequent,Yes,Frequent
Frequent,Laptop,Moderate,Moderate,Open Source,No,Professional,None,Moderate,Yes,Low,Proprietary,None,Yes,Frequent
Frequent,Smartphone,Moderate,Weak,Open Source,Yes,Mixed,None,Moderate,Yes,Low,Proprietary,Frequent,Yes,Frequent
Rare,Laptop,High,Moderate,Open Source,No,Professional,Frequent,Moderate,Yes,Low,Proprietary,None,Yes,Frequent
Frequent,Laptop,Moderate,None,Proprietary,Yes,DIY,Frequent,Moderate,No,Low,Mixed,Frequent,Yes,Occasional
Rare,Smartphone,High,Moderate,Mixed,No,DIY,Frequent,Moderate,Yes,Low,Open Source,Occasional,Yes,Frequent
Frequent,Smartphone,Moderate,Strong,Proprietary,No,Professional,Frequent,Moderate,Yes,High,Open Source,None,No,Occasional
Rare,Desktop,Low,None,Mixed,Yes,Mixed,None,High,Yes,Moderate,Proprietary,Frequent,No,Occasional
Rare,Desktop,Low,None,Mixed,No,Professional,None,Moderate,No,Low,Proprietary,Frequent,No,Frequent
Rare,Smartphone,High,None,Mixed,Yes,Professional,Frequent,Moderate,No,Moderate,Mixed,Occasional,No,Occasional
None,Laptop,Moderate,None,Proprietary,Yes,Mixed,Occasional,Moderate,No,Low,Open Source,Frequent,Yes,Frequent
Rare,Smartphone,Low,None,Mixed,Yes,DIY,Occasional,High,Yes,High,Open Source,None,No,Occasional
Rare,Tablet,Low,None,Proprietary,No,Professional,None,High,No,Moderate,Mixed,Occasional,Yes,Frequent
Frequent,Desktop,Low,Weak,Proprietary,Yes,DIY,Frequent,High,Yes,High,Proprietary,None,Yes,Frequent
Frequent,Desktop,Low,Weak,Mixed,Yes,DIY,None,Low,Yes,Low,Open Source,Frequent,Yes,None
Frequent,Laptop,Moderate,Moderate,Mixed,No,DIY,Occasional,High,Yes,Moderate,Proprietary,Frequent,No,Occasional
Rare,Tablet,Low,None,Open Source,No,Professional,Frequent,Low,No,Moderate,Open Source,None,No,Frequent
None,Smartphone,Low,None,Proprietary,Yes,DIY,None,High,Yes,Moderate,Mixed,None,No,None
Rare,Smartphone,Low,Weak,Proprietary,Yes,Professional,Occasional,High,No,High,Proprietary,Occasional,No,None
None,Desktop,Moderate,Weak,Proprietary,No,Professional,Frequent,Low,Yes,High,Open Source,Occasional,Yes,Occasional
None,Laptop,High,None,Open Source,Yes,Professional,None,Moderate,Yes,High,Proprietary,Frequent,No,Occasional
Occasional,Tablet,Moderate,Strong,Mixed,Yes,Mixed,None,Moderate,No,Moderate,Open Source,Frequent,Yes,Occasional
Frequent,Desktop,Moderate,Weak,Open Source,No,Professional,None,Moderate,Yes,Low,Open Source,None,Yes,Frequent
None,Tablet,High,Strong,Open Source,No,Mixed,Occasional,Moderate,No,High,Mixed,None,No,Frequent
Rare,Desktop,High,Weak,Mixed,Yes,DIY,Frequent,Moderate,No,High,Open Source,Frequent,No,Occasional
Rare,Desktop,Low,Strong,Mixed,Yes,Professional,Frequent,Moderate,No,Low,Open Source,Frequent,Yes,Frequent
Rare,Tablet,Moderate,None,Mixed,Yes,DIY,Occasional,High,No,High,Proprietary,Frequent,Yes,Frequent
Frequent,Laptop,Moderate,Moderate,Open Source,Yes,Professional,Frequent,High,Yes,Low,Mixed,Frequent,No,Frequent
None,Laptop,High,Moderate,Proprietary,Yes,Mixed,Occasional,High,No,High,Mixed,None,Yes,Occasional
None,Desktop,Low,Strong,Mixed,No,DIY,Frequent,Low,Yes,High,Proprietary,Occasional,Yes,Frequent
Rare,Desktop,Low,Weak,Proprietary,No,Professional,Frequent,Low,Yes,Low,Open Source,Occasional,No,None
Rare,Desktop,Low,Weak,Mixed,Yes,Professional,Frequent,Low,No,Moderate,Open Source,None,No,Occasional
Rare,Tablet,Low,None,Mixed,No,Professional,None,Moderate,No,Moderate,Proprietary,None,No,Occasional
Rare,Tablet,Low,Moderate,Mixed,No,Mixed,Frequent,High,No,High,Mixed,Occasional,No,Occasional
Frequent,Tablet,High,Strong,Open Source,No,Mixed,Frequent,High,Yes,Moderate,Open Source,Occasional,Yes,None
None,Smartphone,Moderate,Moderate,Mixed,Yes,Mixed,None,High,No,High,Mixed,Frequent,Yes,Frequent
Frequent,Smartphone,Moderate,None,Open Source,No,DIY,None,High,Yes,High,Mixed,Occasional,Yes,None
Rare,Tablet,Low,None,Open Source,No,DIY,Occasional,Low,Yes,Low,Mixed,Frequent,Yes,Occasional
Rare,Smartphone,Moderate,Moderate,Open Source,No,Mixed,Occasional,Low,Yes,High,Open Source,Frequent,Yes,Occasional
Rare,Desktop,Low,Weak,Open Source,Yes,Mixed,Occasional,High,Yes,Moderate,Mixed,None,Yes,Occasional
Rare,Desktop,High,Strong,Mixed,Yes,DIY,Frequent,Moderate,No,Moderate,Open Source,Occasional,No,Frequent
None,Smartphone,Low,Weak,Open Source,Yes,Mixed,Occasional,High,Yes,Moderate,Mixed,Frequent,No,None
Rare,Tablet,Low,Moderate,Proprietary,Yes,Professional,Occasional,High,No,Moderate,Open Source,Occasional,No,None
Frequent,Smartphone,Low,Weak,Proprietary,No,Professional,Occasional,Low,No,Low,Proprietary,Occasional,Yes,Frequent
Occasional,Tablet,Low,None,Open Source,No,Professional,None,Low,No,Low,Proprietary,Frequent,Yes,Occasional
None,Laptop,Low,Moderate,Mixed,Yes,DIY,Frequent,Moderate,No,High,Proprietary,Frequent,Yes,None
Frequent,Tablet,High,Strong,Open Source,No,DIY,None,Moderate,No,High,Mixed,None,No,Frequent
Occasional,Desktop,High,Moderate,Open Source,Yes,DIY,Frequent,Low,Yes,Low,Open Source,None,No,Frequent
None,Desktop,Low,Strong,Open Source,Yes,DIY,Frequent,Low,Yes,High,Proprietary,Occasional,No,None
None,Laptop,Low,Moderate,Open Source,Yes,Mixed,None,Moderate,No,Moderate,Mixed,None,Yes,Occasional
Frequent,Desktop,Moderate,Weak,Mixed,Yes,Professional,Frequent,Moderate,No,Moderate,Proprietary,Frequent,No,Occasional
Frequent,Desktop,Low,Moderate,Open Source,No,Professional,Occasional,Low,No,High,Open Source,None,Yes,None
Occasional,Smartphone,High,Moderate,Mixed,Yes,Professional,Frequent,Low,No,Moderate,Open Source,Frequent,Yes,Occasional
None,Tablet,Low,Strong,Mixed,No,Mixed,Occasional,Moderate,No,Moderate,Proprietary,Occasional,Yes,None
Frequent,Tablet,Low,Strong,Proprietary,Yes,Professional,None,Low,Yes,Moderate,Proprietary,Frequent,Yes,Frequent
None,Desktop,Low,Strong,Proprietary,No,Mixed,Frequent,High,No,High,Proprietary,Frequent,No,None
None,Desktop,Low,None,Open Source,Yes,Mixed,Occasional,Low,No,Low,Proprietary,Frequent,Yes,Occasional
Rare,Desktop,Moderate,Weak,Open Source,Yes,DIY,Frequent,Moderate,Yes,Moderate,Proprietary,None,Yes,Frequent
None,Desktop,Moderate,Weak,Open Source,No,DIY,None,Low,No,Moderate,Open Source,Occasional,Yes,Frequent
None,Desktop,Moderate,Strong,Open Source,No,Professional,Frequent,High,Yes,High,Open Source,Frequent,Yes,None
Rare,Laptop,High,None,Open Source,Yes,DIY,None,High,Yes,High,Mixed,None,No,None
Occasional,Desktop,High,Weak,Mixed,No,DIY,Occasional,Low,No,Low,Open Source,Occasional,Yes,Occasional
Occasional,Smartphone,Low,Weak,Mixed,No,Mixed,Occasional,Moderate,Yes,High,Proprietary,Frequent,Yes,None
Frequent,Desktop,Moderate,Strong,Proprietary,No,DIY,Occasional,Low,No,High,Proprietary,Occasional,Yes,None
None,Tablet,Moderate,Strong,Proprietary,Yes,Professional,None,Low,No,Moderate,Open Source,None,No,Frequent
None,Tablet,Low,Weak,Mixed,Yes,Professional,Occasional,Low,No,Low,Mixed,Occasional,Yes,Occasional
Frequent,Laptop,Moderate,Moderate,Proprietary,No,Professional,None,Moderate,No,Moderate,Open Source,None,Yes,Frequent
Frequent,Tablet,Moderate,Moderate,Mixed,Yes,Professional,Occasional,Moderate,No,Low,Proprietary,Frequent,No,Occasional
Rare,Desktop,Moderate,Strong,Mixed,No,DIY,Frequent,Moderate,Yes,High,Mixed,Frequent,Yes,Frequent
Frequent,Laptop,Moderate,None,Open Source,No,Professional,None,Moderate,Yes,Moderate,Open Source,Occasional,No,None
Occasional,Smartphone,Low,Strong,Mixed,Yes,Professional,Frequent,Low,Yes,High,Proprietary,Occasional,Yes,Occasional
Frequent,Laptop,Moderate,Strong,Mixed,No,Mixed,Occasional,High,No,High,Proprietary,None,No,Frequent
Occasional,Desktop,Low,Strong,Open Source,No,DIY,Frequent,Low,Yes,Low,Mixed,None,Yes,None
Frequent,Tablet,Low,Weak,Mixed,No,Mixed,None,Moderate,No,Moderate,Open Source,Frequent,No,Frequent
None,Laptop,Low,Weak,Open Source,No,DIY,None,Moderate,No,Low,Open Source,Frequent,Yes,Frequent
Occasional,Tablet,Low,Moderate,Open Source,No,DIY,Occasional,Moderate,No,High,Proprietary,Frequent,No,Occasional
None,Tablet,Low,Weak,Mixed,Yes,Mixed,Frequent,High,No,Moderate,Mixed,Occasional,No,None
None,Tablet,High,Weak,Proprietary,Yes,Mixed,Frequent,Moderate,Yes,High,Proprietary,Frequent,No,Occasional
None,Tablet,Moderate,Moderate,Proprietary,Yes,Mixed,Occasional,High,Yes,High,Mixed,Frequent,Yes,Frequent
None,Smartphone,Moderate,None,Open Source,Yes,Professional,None,High,Yes,Moderate,Mixed,Frequent,No,None
None,Laptop,High,None,Proprietary,Yes,Mixed,Occasional,Moderate,Yes,High,Open Source,Occasional,No,Occasional
Frequent,Tablet,Low,Strong,Proprietary,Yes,DIY,None,High,Yes,Low,Mixed,Frequent,Yes,Frequent
Rare,Laptop,Moderate,Weak,Open Source,Yes,DIY,None,Low,Yes,Moderate,Open Source,None,No,Frequent
Rare,Smartphone,Moderate,Moderate,Proprietary,No,Professional,Frequent,Moderate,No,Low,Mixed,Occasional,No,Frequent
Rare,Laptop,High,None,Open Source,No,Professional,Occasional,Low,No,Low,Mixed,Occasional,No,None
Rare,Tablet,High,Strong,Mixed,Yes,Mixed,Occasional,High,Yes,Low,Proprietary,Occasional,No,Frequent
None,Tablet,Moderate,Moderate,Mixed,No,Mixed,Frequent,High,Yes,High,Mixed,Occasional,No,Frequent
Occasional,Laptop,Moderate,None,Open Source,No,DIY,None,Low,Yes,Low,Proprietary,None,No,Frequent
Frequent,Laptop,Low,Moderate,Open Source,No,Mixed,Frequent,Moderate,Yes,Moderate,Open Source,Frequent,No,Occasional
Rare,Smartphone,Low,Moderate,Open Source,Yes,Mixed,Occasional,High,Yes,Moderate,Open Source,Frequent,No,None
Frequent,Laptop,Low,Moderate,Proprietary,No,Professional,None,Low,No,High,Proprietary,Occasional,No,Occasional
Rare,Tablet,High,Weak,Proprietary,No,DIY,None,Moderate,Yes,Moderate,Proprietary,None,No,None
Frequent,Desktop,Moderate,Strong,Open Source,Yes,Professional,None,High,Yes,High,Open Source,Occasional,Yes,None
Occasional,Smartphone,High,Moderate,Proprietary,No,Mixed,None,Low,Yes,High,Open Source,Occasional,No,None
Frequent,Smartphone,High,Strong,Proprietary,No,Mixed,None,High,Yes,Low,Mixed,Occasional,Yes,Occasional
Frequent,Tablet,High,Strong,Proprietary,No,Mixed,Frequent,High,Yes,High,Proprietary,Occasional,No,None
Rare,Laptop,Low,Moderate,Mixed,Yes,Professional,None,Moderate,Yes,Moderate,Proprietary,Frequent,No,None
None,Laptop,High,None,Proprietary,No,DIY,Frequent,High,Yes,Low,Open Source,Occasional,Yes,None
Frequent,Smartphone,Low,Weak,Mixed,Yes,Mixed,Occasional,Low,No,High,Open Source,None,No,Occasional
Occasional,Smartphone,Low,None,Proprietary,No,DIY,Occasional,Low,Yes,Moderate,Proprietary,Frequent,No,Frequent
Frequent,Smartphone,High,None,Proprietary,No,Mixed,Frequent,Low,No,Low,Open Source,Occasional,No,None
Frequent,Smartphone,Low,None,Mixed,Yes,Professional,Frequent,Moderate,Yes,Low,Proprietary,Frequent,No,None
None,Smartphone,Moderate,Moderate,Mixed,No,Mixed,Occasional,High,No,Moderate,Mixed,Frequent,No,Frequent
Frequent,Laptop,High,Strong,Proprietary,Yes,DIY,None,Moderate,No,Moderate,Open Source,Frequent,Yes,Occasional
None,Desktop,High,Strong,Mixed,No,Professional,Occasional,Low,Yes,Moderate,Mixed,Frequent,Yes,Frequent
Frequent,Desktop,Low,Weak,Open Source,Yes,Professional,None,Low,Yes,Moderate,Mixed,Frequent,No,None
Frequent,Laptop,Low,None,Proprietary,Yes,DIY,Occasional,High,No,Moderate,Open Source,Occasional,Yes,Frequent
None,Laptop,Moderate,None,Proprietary,No,DIY,Occasional,High,No,Low,Proprietary,None,No,Frequent
None,Smartphone,High,Moderate,Proprietary,No,Mixed,Occasional,Low,No,Low,Open Source,Frequent,Yes,Frequent
Rare,Tablet,Low,Weak,Open Source,Yes,DIY,Occasional,High,No,Low,Mixed,Frequent,Yes,Frequent
None,Desktop,High,Weak,Proprietary,Yes,Mixed,Occasional,High,Yes,Moderate,Proprietary,None,No,None
Occasional,Desktop,Low,Strong,Open Source,Yes,DIY,Frequent,High,Yes,Moderate,Mixed,Occasional,No,Occasional
None,Smartphone,High,Weak,Open Source,Yes,Mixed,None,Moderate,Yes,Low,Proprietary,None,No,None
None,Laptop,Moderate,Weak,Mixed,No,Mixed,Frequent,Low,Yes,Moderate,Mixed,None,No,None
None,Smartphone,Low,None,Proprietary,Yes,Mixed,None,Moderate,Yes,Moderate,Mixed,None,No,Occasional
Rare,Desktop,High,Weak,Mixed,No,DIY,Frequent,Moderate,No,Low,Proprietary,Occasional,Yes,Frequent
Occasional,Tablet,Low,Weak,Proprietary,Yes,DIY,Frequent,High,No,Moderate,Proprietary,Occasional,No,Occasional
Rare,Laptop,High,Moderate,Mixed,Yes,Professional,Frequent,Moderate,Yes,Moderate,Mixed,Frequent,No,Frequent
Frequent,Smartphone,Low,Moderate,Open Source,Yes,Mixed,Frequent,Moderate,Yes,Moderate,Mixed,None,No,Occasional
Occasional,Desktop,Low,Weak,Mixed,Yes,Mixed,Occasional,Moderate,No,Moderate,Proprietary,Occasional,Yes,Frequent
Occasional,Tablet,Low,None,Open Source,Yes,Professional,Frequent,High,No,Moderate,Mixed,Occasional,No,Frequent
Rare,Desktop,High,Moderate,Proprietary,Yes,Professional,None,Moderate,No,Low,Mixed,Frequent,Yes,Occasional
Occasional,Laptop,Low,None,Proprietary,No,Professional,None,Moderate,No,High,Proprietary,None,No,None
Occasional,Smartphone,Moderate,Strong,Mixed,No,DIY,None,Moderate,No,High,Open Source,Occasional,No,None
Occasional,Laptop,Moderate,Weak,Proprietary,No,DIY,None,High,No,Moderate,Open Source,None,No,Occasional
Frequent,Laptop,Low,Strong,Open Source,No,Professional,Occasional,Moderate,No,High,Proprietary,Frequent,Yes,Occasional
Rare,Smartphone,Low,None,Open Source,Yes,Mixed,None,Moderate,Yes,Low,Open Source,Frequent,No,None
None,Smartphone,Moderate,Weak,Mixed,Yes,DIY,Frequent,Moderate,Yes,Low,Proprietary,None,Yes,Occasional
Rare,Desktop,High,Moderate,Open Source,No,DIY,None,Moderate,No,Moderate,Proprietary,Occasional,No,Occasional
Rare,Desktop,High,Strong,Proprietary,Yes,Mixed,None,Low,Yes,High,Open Source,Frequent,Yes,None
Rare,Smartphone,Low,Weak,Open Source,Yes,Mixed,Frequent,High,Yes,Low,Open Source,Frequent,No,Frequent
Frequent,Smartphone,Moderate,Strong,Open Source,Yes,DIY,Frequent,Low,Yes,High,Open Source,None,No,Occasional
None,Desktop,Moderate,Strong,Open Source,Yes,Mixed,Occasional,High,No,High,Proprietary,None,No,None
Occasional,Smartphone,High,Strong,Proprietary,Yes,DIY,None,Moderate,Yes,Low,Proprietary,Frequent,Yes,Frequent
None,Desktop,Moderate,Weak,Mixed,Yes,Professional,None,Low,Yes,Low,Mixed,Frequent,No,None
Frequent,Desktop,High,Weak,Mixed,No,Professional,None,Low,Yes,Low,Proprietary,Frequent,No,Frequent
Frequent,Laptop,Moderate,None,Proprietary,Yes,DIY,None,Moderate,No,Low,Open Source,Frequent,No,Occasional
Frequent,Desktop,Moderate,Weak,Open Source,Yes,Professional,Frequent,Moderate,No,Low,Proprietary,Frequent,Yes,Occasional
None,Laptop,Moderate,Weak,Mixed,No,Mixed,None,High,No,High,Mixed,None,Yes,Occasional
Frequent,Desktop,Moderate,Moderate,Open Source,No,DIY,Frequent,Moderate,Yes,Moderate,Proprietary,None,No,Occasional
Occasional,Desktop,Low,None,Open Source,No,DIY,None,High,Yes,Low,Mixed,Occasional,No,Frequent
None,Smartphone,Moderate,Weak,Proprietary,Yes,Mixed,Occasional,Moderate,Yes,Low,Open Source,Frequent,Yes,Frequent
Occasional,Laptop,High,Moderate,Open Source,Yes,Mixed,Frequent,Low,Yes,Low,Proprietary,Occasional,No,Occasional
None,Tablet,Low,Moderate,Mixed,Yes,Professional,None,Moderate,No,Moderate,Proprietary,Occasional,No,Frequent
Occasional,Desktop,High,None,Open Source,No,DIY,Occasional,High,Yes,High,Mixed,Occasional,Yes,Occasional
None,Tablet,Moderate,None,Mixed,Yes,Mixed,Frequent,High,Yes,Low,Mixed,Occasional,No,None
Occasional,Desktop,Moderate,Moderate,Open Source,No,Mixed,None,Low,No,High,Mixed,None,Yes,None
Occasional,Desktop,Moderate,None,Proprietary,Yes,Mixed,None,Moderate,Yes,Low,Mixed,None,Yes,None
Frequent,Laptop,High,Strong,Proprietary,Yes,DIY,Occasional,High,Yes,Moderate,Mixed,Occasional,Yes,Occasional
None,Laptop,Moderate,None,Mixed,Yes,Mixed,Frequent,Moderate,No,High,Proprietary,Frequent,Yes,None
Occasional,Smartphone,Moderate,Strong,Proprietary,No,Professional,None,High,No,High,Open Source,Frequent,Yes,None
Frequent,Tablet,Moderate,Moderate,Open Source,No,Professional,Occasional,Low,No,High,Open Source,None,Yes,None
Frequent,Laptop,Low,Weak,Open Source,Yes,Mixed,None,Low,No,High,Mixed,Occasional,Yes,Occasional
None,Tablet,Moderate,Weak,Open Source,No,Professional,Frequent,High,No,Low,Open Source,Occasional,Yes,Frequent
Occasional,Tablet,Low,None,Proprietary,No,DIY,None,High,Yes,High,Mixed,Occasional,Yes,Frequent
Occasional,Laptop,Moderate,Moderate,Proprietary,Yes,DIY,None,High,No,High,Mixed,None,Yes,Occasional
None,Smartphone,High,Weak,Proprietary,Yes,Professional,None,Moderate,Yes,High,Mixed,None,No,Frequent
